FTX-F1	FFS-TX	fFS-F1	TX-F1-diet	TX-diet	FS-TX-diet	FS-F1-diet	F1-diet	CTX-F1	CFS-TX	CFS-F1	CFS-F1	ENSOARG00000017163	7	KRT86	synonym (from ensembl)
ENSOARG00000000123	ENSOARG00000000130	ENSOARG00000012206	ENSOARG00000000531	ENSOARG00000000345	ENSOARG00000000345	ENSOARG00000002559	ENSOARG00000000217	ENSOARG00000000468	ENSOARG00000001346	ENSOARG00000000936	ENSOARG00000000936	ENSOARG00000012224	5	Tyrosine protein kinase	blast
ENSOARG00000000304	ENSOARG00000000158	ENSOARG00000008913	ENSOARG00000000870	ENSOARG00000000531	ENSOARG00000000531	ENSOARG00000004833	ENSOARG00000000936	ENSOARG00000000531	ENSOARG00000002865	ENSOARG00000019163	ENSOARG00000019163	ENSOARG00000008913	5	CSRP3	
ENSOARG00000000327	ENSOARG00000000327	ENSOARG00000018427	ENSOARG00000000879	ENSOARG00000000549	ENSOARG00000001346	ENSOARG00000008913	ENSOARG00000001138	ENSOARG00000000656	ENSOARG00000019163		CFS-TX	ENSOARG00000000531	5	ARGHEF18	blast
ENSOARG00000000412	ENSOARG00000000345	ENSOARG00000002559	ENSOARG00000000936	ENSOARG00000000848	ENSOARG00000001554	ENSOARG00000011885	ENSOARG00000001933	ENSOARG00000000870			ENSOARG00000001346	ENSOARG00000012165	5	ADAMTSL5	
ENSOARG00000000465	ENSOARG00000000348	ENSOARG00000015262	ENSOARG00000001346	ENSOARG00000000870	ENSOARG00000001968	ENSOARG00000012206	ENSOARG00000003366	ENSOARG00000000936			ENSOARG00000002865	ENSOARG00000001346	5	CST6	
ENSOARG00000000522	ENSOARG00000000392	ENSOARG00000011501	ENSOARG00000001968	ENSOARG00000001346	ENSOARG00000002060		ENSOARG00000005450	ENSOARG00000001346			ENSOARG00000019163	ENSOARG00000005014	5	ABLIM3	
ENSOARG00000000675	ENSOARG00000000443	ENSOARG00000019883	ENSOARG00000002031	ENSOARG00000001554	ENSOARG00000002778		ENSOARG00000008660	ENSOARG00000001933			FS-F1-diet	ENSOARG00000012206	5	CA5A	
ENSOARG00000000684	ENSOARG00000000461	ENSOARG00000015874	ENSOARG00000003044	ENSOARG00000001587	ENSOARG00000003867		ENSOARG00000008786	ENSOARG00000003857			ENSOARG00000002559	ENSOARG00000005699	5	Ufc1	blast
ENSOARG00000000729	ENSOARG00000000465	ENSOARG00000007892	ENSOARG00000003121	ENSOARG00000001968	ENSOARG00000005014		ENSOARG00000008838	ENSOARG00000004326			ENSOARG00000004833	ENSOARG00000009233	5	CEACAM16	
ENSOARG00000000741	ENSOARG00000000484	ENSOARG00000007919	ENSOARG00000005014	ENSOARG00000001985	ENSOARG00000005526		ENSOARG00000008913	ENSOARG00000005124			ENSOARG00000008913	ENSOARG00000001968	5	MFAP5	
ENSOARG00000000778	ENSOARG00000000498	ENSOARG00000005833	ENSOARG00000005450	ENSOARG00000002489	ENSOARG00000005699		ENSOARG00000009097	ENSOARG00000005450			ENSOARG00000011885	ENSOARG00000010649	4	SEMA3F	
ENSOARG00000000858	ENSOARG00000000531	ENSOARG00000016918	ENSOARG00000005699	ENSOARG00000002562	ENSOARG00000005709		ENSOARG00000009563	ENSOARG00000006214			ENSOARG00000012206	ENSOARG00000001554	4	FBLN2	
ENSOARG00000001111	ENSOARG00000000549	ENSOARG00000006941	ENSOARG00000005854	ENSOARG00000002778	ENSOARG00000005722		ENSOARG00000010230	ENSOARG00000006480			F1-diet	ENSOARG00000002778	4		
ENSOARG00000001134	ENSOARG00000000612	ENSOARG00000018483	ENSOARG00000006408	ENSOARG00000002865	ENSOARG00000005888		ENSOARG00000012206	ENSOARG00000006935			ENSOARG00000000217	ENSOARG00000003121	4	WIF1	
ENSOARG00000001254	ENSOARG00000000684	ENSOARG00000021540	ENSOARG00000006557	ENSOARG00000002866	ENSOARG00000006087		ENSOARG00000012264	ENSOARG00000008443			ENSOARG00000000936	ENSOARG00000005722	4	EPAS1	
ENSOARG00000001395	ENSOARG00000000714	ENSOARG00000012936	ENSOARG00000006941	ENSOARG00000002973	ENSOARG00000006822		ENSOARG00000014731	ENSOARG00000008660			ENSOARG00000001138	ENSOARG00000018906	4	HHLA2	
ENSOARG00000001554	ENSOARG00000000729	ENSOARG00000011885	ENSOARG00000007322	ENSOARG00000003121	ENSOARG00000007549		ENSOARG00000015262	ENSOARG00000008693			ENSOARG00000001933	ENSOARG00000000936	4	LMOD2	
ENSOARG00000001587	ENSOARG00000000778	ENSOARG00000004833	ENSOARG00000007849	ENSOARG00000003437	ENSOARG00000009233		ENSOARG00000015547	ENSOARG00000008838			ENSOARG00000003366	ENSOARG00000006822	4	PLXNB3	
ENSOARG00000001637	ENSOARG00000000838	ENSOARG00000019103	ENSOARG00000007935	ENSOARG00000003601	ENSOARG00000010649		ENSOARG00000016786	ENSOARG00000008842			ENSOARG00000005450	ENSOARG00000006941	4	C170rf67	
ENSOARG00000001735	ENSOARG00000000848	ENSOARG00000006322	ENSOARG00000008330	ENSOARG00000003624	ENSOARG00000011304		ENSOARG00000016859	ENSOARG00000009178			ENSOARG00000008660	ENSOARG00000026322	4		
ENSOARG00000001745	ENSOARG00000000858	ENSOARG00000000130	ENSOARG00000008660	ENSOARG00000003895	ENSOARG00000011685		ENSOARG00000016979	ENSOARG00000009457			ENSOARG00000008786	ENSOARG00000014207	4		
ENSOARG00000001783	ENSOARG00000000899	ENSOARG00000019231	ENSOARG00000008867	ENSOARG00000004062	ENSOARG00000012165		ENSOARG00000017163	ENSOARG00000009600			ENSOARG00000008838	ENSOARG00000017011	4	CYP7B1	
ENSOARG00000001848	ENSOARG00000000950	ENSOARG00000018943	ENSOARG00000008913	ENSOARG00000004930	ENSOARG00000012224		ENSOARG00000018383	ENSOARG00000009822			ENSOARG00000008913	ENSOARG00000020469	4	CLDN16	
ENSOARG00000001968	ENSOARG00000001010	ENSOARG00000013575	ENSOARG00000009028	ENSOARG00000005014	ENSOARG00000012362		ENSOARG00000018592	ENSOARG00000010230			ENSOARG00000009097	ENSOARG00000020131	4	TSPAN2	
ENSOARG00000001985	ENSOARG00000001035	ENSOARG00000002356	ENSOARG00000009233	ENSOARG00000005078	ENSOARG00000013183		ENSOARG00000020481	ENSOARG00000010276			ENSOARG00000009563	ENSOARG00000013669	4	NPY1R	
ENSOARG00000002050	ENSOARG00000001060	ENSOARG00000016786	ENSOARG00000009752	ENSOARG00000005315	ENSOARG00000013669			ENSOARG00000010332			ENSOARG00000010230	ENSOARG00000016786	4	KRT86	
ENSOARG00000002053	ENSOARG00000001160	ENSOARG00000009276	ENSOARG00000009843	ENSOARG00000005471	ENSOARG00000014207			ENSOARG00000011052			ENSOARG00000012206	ENSOARG00000017823	4	DCBLD2	
ENSOARG00000002079	ENSOARG00000001254	ENSOARG00000011522	ENSOARG00000009884	ENSOARG00000005526	ENSOARG00000014509			ENSOARG00000012264			ENSOARG00000012264	ENSOARG00000014509	4	MGAM	
