,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,external_gene_name,chromosome_name,description
ENSOARG00000012206,1081.7216522107,-5.4427252008,0.4060464694,-13.4041928981,5.71415245982064E-41,9.66206039431073E-37,ENSOARG00000012206,CA5A,14,"carbonic anhydrase VA, mitochondrial [Source:HGNC Symbol;Acc:HGNC:1377]"
ENSOARG00000008913,73.4049798703,-2.4218002898,0.4054154684,-5.9736257703,2.32037745083053E-09,1.96176311580467E-05,ENSOARG00000008913,CSRP3,21,cysteine and glycine-rich protein 3 (cardiac LIM protein) [Source:HGNC Symbol;Acc:HGNC:2472]
ENSOARG00000018427,1234.6832377282,0.4576549708,0.0886744765,5.161067637,2.45545437711799E-07,0.0011139758,ENSOARG00000018427,APBB1,15,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65) [Source:HGNC Symbol;Acc:HGNC:581]"
ENSOARG00000002559,37.9570548122,2.0617822105,0.4035480264,5.1091371421,3.23633386357923E-07,0.0011139758,ENSOARG00000002559,,X,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NX19]
ENSOARG00000015262,1519.2694597812,-2.0651354034,0.4044687671,-5.1057969647,3.29403229681587E-07,0.0011139758,ENSOARG00000015262,SERPINE1,24,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 [Source:HGNC Symbol;Acc:HGNC:8583]"
ENSOARG00000011501,98.3558968726,1.7685070486,0.3764691696,4.6976145498,2.63217567859746E-06,0.0074179098,ENSOARG00000011501,GRIK2,8,"glutamate receptor, ionotropic, kainate 2 [Source:HGNC Symbol;Acc:HGNC:4580]"
ENSOARG00000019883,15.3183373574,1.8759220902,0.4049541809,4.6324304794,0.000003614,0.0087298199,ENSOARG00000019883,,14,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5QF50]
ENSOARG00000015874,13.6462649173,1.5903269199,0.3488492094,4.5587803476,5.1451548844242E-06,0.010874928,ENSOARG00000015874,,22,
ENSOARG00000007892,117.8211339855,-1.7827216577,0.3942878556,-4.5213709534,0.000006144,0.0115432879,ENSOARG00000007892,,21,
ENSOARG00000007919,198.9599900685,-1.7355701751,0.3927409349,-4.4191221768,9.91026129867315E-06,0.0166862535,ENSOARG00000007919,NELL1,21,
ENSOARG00000005833,148.2163675438,1.2716846251,0.2907501022,4.3738062867,1.22098733471843E-05,0.0166862535,ENSOARG00000005833,ASTN2,2,astrotactin 2 [Source:HGNC Symbol;Acc:HGNC:17021]
ENSOARG00000016918,56.452339555,-1.7143318603,0.3923119368,-4.3698182483,0.000012435,0.0166862535,ENSOARG00000016918,F2RL2,7,coagulation factor II (thrombin) receptor-like 2 [Source:HGNC Symbol;Acc:HGNC:3539]
ENSOARG00000006941,41.5276446193,-1.7709650568,0.4059734249,-4.3622684344,1.28720798401716E-05,0.0166862535,ENSOARG00000006941,C17orf67,11,chromosome 17 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:27900]
ENSOARG00000018483,254.4184583139,-1.6026836674,0.3700507775,-4.3309831109,1.48445068864293E-05,0.0166862535,ENSOARG00000018483,ITGA11,7,"integrin, alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]"
ENSOARG00000021540,2.1438354193,-1.7506290861,0.4046995129,-4.3257504151,1.52013465760386E-05,0.0166862535,ENSOARG00000021540,U2,11,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]
ENSOARG00000012936,249.4882186598,-1.7515146838,0.4056892676,-4.3173798858,1.57892279915648E-05,0.0166862535,ENSOARG00000012936,CD83,20,CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]
