"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSOARG00000000468",923.360357730666,-1.30796058871953,0.320946877011139,-4.07531801181581,4.59515070409651e-05,0.0323240317503588
"ENSOARG00000000531",2035.98641817602,0.928380958798067,0.193584049384264,4.79575131190294,1.62066242755264e-06,0.00511346006933316
"ENSOARG00000000656",67.9721412114198,-1.55504217661273,0.392627315321097,-3.96060619302809,7.47597371157897e-05,0.0365026148315771
"ENSOARG00000000870",19.3796451110773,1.42373954648732,0.365166285828356,3.89888004928402,9.66386298019225e-05,0.0429345644359907
"ENSOARG00000000936",7.87556653080915,-2.41428251941117,0.404625218082316,-5.9667129272205,2.42080769800117e-09,4.58283105308602e-05
"ENSOARG00000001346",143.701223285365,2.13634278927344,0.403116128467121,5.29957160830314,1.16074705421259e-07,0.000549352562082465
"ENSOARG00000001933",62.3400797565956,-1.78894725001404,0.396676598499589,-4.50983813207194,6.48771095198463e-06,0.0136465395591134
"ENSOARG00000003857",7.74217315575712,-1.4542935479593,0.366314454386337,-3.97006869520228,7.18519126860337e-05,0.0365026148315771
"ENSOARG00000004326",11.1375725534598,-1.64308318915112,0.405836488391215,-4.04863346729739,5.15175524334096e-05,0.0348313851827456
"ENSOARG00000005124",25.8900830877407,-1.51118350918853,0.385971657906131,-3.91527066361969,9.03028458479404e-05,0.04169568718896
"ENSOARG00000005450",139.419928154757,-1.82026060627322,0.361513479385055,-5.03511130309591,4.77571260425732e-07,0.00180818030622391
"ENSOARG00000006214",359.315991559345,-1.54235344683089,0.35992628265325,-4.28519261072352,1.82580935181048e-05,0.0203319981406613
"ENSOARG00000006480",670.961575597303,-1.18888468011203,0.295627547214224,-4.02156257532563,5.78133447878575e-05,0.036261539111323
"ENSOARG00000006935",864.184878702089,-1.1120353968921,0.280396254493585,-3.96594240854076,7.31065145044853e-05,0.0365026148315771
"ENSOARG00000008443",11.9948799890987,-1.5046857149706,0.348009400309402,-4.32369273253205,1.53438967939483e-05,0.0193650206804157
"ENSOARG00000008660",17.1813156310961,-1.54163004275437,0.377684404154009,-4.08179428591322,4.46893445919245e-05,0.0323240317503588
"ENSOARG00000008693",52.1113443604442,1.64759143340827,0.392796614177086,4.19451536480272,2.73455616281099e-05,0.0258839413590874
"ENSOARG00000008838",14.0401703009792,-1.69329431763963,0.365967224617111,-4.62690154674703,3.7117684811921e-06,0.00878343613968095
"ENSOARG00000008842",45.2662248520178,-1.71498209093463,0.400049415306632,-4.28692562797552,1.81162912006018e-05,0.0203319981406613
"ENSOARG00000009178",90.665507108691,-1.42381362771213,0.353655366977247,-4.02599185721881,5.67356521914448e-05,0.036261539111323
"ENSOARG00000009457",8.15468187999473,-1.61805130889303,0.405691348137342,-3.98838012277566,6.65260056110079e-05,0.0365026148315771
"ENSOARG00000009600",217.586361164047,0.846074290850971,0.218044375641432,3.8802848656932,0.000104334195118196,0.0438754104168772
"ENSOARG00000009822",12509.0807343273,-1.19135053548657,0.310709372477914,-3.83429223903201,0.000125926356354958,0.0471851726369544
"ENSOARG00000010230",451.30791246042,-2.28024235032813,0.405027970594035,-5.62983921081749,1.80377695054735e-08,0.000170736507254059
"ENSOARG00000010276",6.35599189568445,-1.76100067782015,0.404542740737537,-4.35306458499193,1.34247579764341e-05,0.0193650206804157
"ENSOARG00000010332",90.6541436818305,-1.61766292655108,0.392687123680666,-4.11947025761548,3.79744435494431e-05,0.0312562691667177
"ENSOARG00000011052",30.876775430297,1.56144839709792,0.382987263052519,4.07702434972049,4.56157174151991e-05,0.0323240317503588
"ENSOARG00000012264",3725.47988522206,-1.15772500144676,0.262153225019615,-4.41621498785734,1.00444187978119e-05,0.0172864447510342
"ENSOARG00000013905",7.90642863495089,-1.43135066956654,0.374899720577733,-3.81795608532537,0.000134561870055629,0.0471851726369544
"ENSOARG00000013936",20.958457039418,-1.65488920110006,0.400828526630727,-4.12867121761686,3.64865691942542e-05,0.0312562691667177
"ENSOARG00000014019",643.03585416434,0.896164211301933,0.2360900071315,3.79585829231127,0.000147133529072219,0.0488664006818627
"ENSOARG00000014283",55.4866820930959,-1.58701879610963,0.382358844139419,-4.15060046454937,3.31604174525245e-05,0.029893326799702
"ENSOARG00000014514",84.0324976671559,-1.46044874726007,0.368874197014988,-3.9592054935757,7.51995128852943e-05,0.0365026148315771
"ENSOARG00000014616",589.341933423727,-0.782248148753635,0.204752792348714,-3.82045167628966,0.000133207503482977,0.0471851726369544
"ENSOARG00000014731",552.600615380708,-1.18297080249261,0.305305491475438,-3.87471183952739,0.000106750944859906,0.0438754104168772
"ENSOARG00000014745",23.0572666554714,-1.70711682506184,0.402849663887777,-4.23760270416261,2.25919084172777e-05,0.0225098641182886
"ENSOARG00000014856",218.183752545843,-1.56428276335977,0.404183596302312,-3.87022822714892,0.000108733512169909,0.0438754104168772
"ENSOARG00000015190",28.7409836500247,-1.53489612574489,0.401882127520459,-3.81926943408735,0.00013384750175295,0.0471851726369544
"ENSOARG00000015547",65.9682861417803,-1.44838129522298,0.379366243294748,-3.81789713982975,0.000134594016290504,0.0471851726369544
"ENSOARG00000016372",122.434157318383,-1.2801441995123,0.328522085975963,-3.89667621800613,9.75218567823993e-05,0.0429345644359907
"ENSOARG00000016859",24.251730628332,-1.87085540314982,0.397245105050504,-4.70957446514531,2.48234510791163e-06,0.00671332503398215
"ENSOARG00000016979",22.1147716251978,-2.05220940688076,0.385518076798378,-5.3232507900117,1.01929063015204e-07,0.000549352562082465
"ENSOARG00000017163",10.3902205358801,-1.6197606332803,0.404648062537252,-4.0028874057223,6.25740863090914e-05,0.0365026148315771
"ENSOARG00000017187",12.7646609589511,1.50463928197076,0.396231280902085,3.7973763165422,0.000146235700943633,0.0488664006818627
"ENSOARG00000017203",15.404491022735,-1.74560065424509,0.403668541303461,-4.32434157144987,1.5298810127586e-05,0.0193650206804157
"ENSOARG00000017975",7.21610404209154,-1.51319821256062,0.382970687686282,-3.95121157105419,7.77565449022033e-05,0.0368002287885903
"ENSOARG00000018281",161.837856704355,-1.39355457306718,0.342013572948009,-4.07455926691839,4.61015718799688e-05,0.0323240317503588
"ENSOARG00000018549",269.613801592381,-1.480033725809,0.384392119611108,-3.85032275715319,0.00011796227085024,0.0465238281138726
"ENSOARG00000019235",327.618425996042,0.732056596431896,0.191212796049937,3.82849166768479,0.000128930995196464,0.0471851726369544
"ENSOARG00000019829",1400.288238895,-0.567893454134346,0.142060369521028,-3.99755016862944,6.40014293179733e-05,0.0365026148315771
"ENSOARG00000020194",128.040843589815,-1.76836278474115,0.397765934285677,-4.44573713411845,8.75910003054575e-06,0.0165818522678262
"ENSOARG00000020431",211.683412840991,-1.34355730169299,0.352458845001529,-3.81195512822827,0.000137871909464708,0.0474555112377524
"ENSOARG00000020481",9.0026632854937,-1.56822373573607,0.40524784505101,-3.86978920403308,0.000108929496043169,0.0438754104168772
"ENSOARG00000023487",8.22339600943678,-1.61385751348916,0.401930576908541,-4.0152643421712,5.93792040806621e-05,0.036261539111323
"ENSOARG00000024669",1.78876133325622,-1.52386805757734,0.348815432979784,-4.36869448280879,1.24991479163376e-05,0.0193650206804157
"ENSOARG00000025788",3.64872233845705,-1.63377671673991,0.384911377891074,-4.2445529297974,2.19029664813809e-05,0.0225098641182886
"ENSOARG00000026516",1.78152060520503,-1.33898710900961,0.336435458692314,-3.97992266990555,6.89376892972915e-05,0.0365026148315771
