"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSOARG00000000217",6.5495571953409,-1.70266053270692,0.404662022447593,-4.20761138494884,2.58084201085667e-05,0.0307615851852661
"ENSOARG00000000936",7.87556653080915,-1.69406539975648,0.404564213143517,-4.18738322550424,2.82189126361556e-05,0.0307615851852661
"ENSOARG00000001138",335.093500712078,-1.31524329731985,0.27483275614037,-4.78561331549612,1.70465976287159e-06,0.00706138260171927
"ENSOARG00000001933",62.3400797565956,-1.71406795247317,0.387854833036462,-4.41935437301108,9.89962030982148e-06,0.0186400850779111
"ENSOARG00000003366",28.2898034365187,-1.67012265033944,0.398041342882481,-4.1958522153628,2.71847468197278e-05,0.0307615851852661
"ENSOARG00000005450",139.419928154757,-1.47439054112838,0.347732273117172,-4.24001640086931,2.23503455912727e-05,0.0289325223679025
"ENSOARG00000008660",17.1813156310961,-1.56374786007882,0.368366804474852,-4.24508354466986,2.18511991302635e-05,0.0289325223679025
"ENSOARG00000008786",48.3745296675817,-1.57614338693397,0.38855296769098,-4.05644408354513,4.98254839546544e-05,0.0448689314638609
"ENSOARG00000008838",14.0401703009792,-1.68503242829385,0.37577358492562,-4.48416944641648,7.31984797742615e-06,0.0174427160016405
"ENSOARG00000008913",73.404979870271,2.14905041720605,0.391755827215596,5.48568845160626,4.11862216885778e-08,0.000284349674537941
"ENSOARG00000009097",761.127001077551,-1.43179751973934,0.347835925659008,-4.11630143443827,3.85000718145904e-05,0.0398706743711898
"ENSOARG00000009563",59.9187639088965,-1.35666922199653,0.311648781130463,-4.35319919133133,1.34165143542221e-05,0.0213756034849729
"ENSOARG00000010230",451.30791246042,-2.38062614259034,0.403363766370932,-5.90193354254116,3.59265891797962e-09,3.7205575754597e-05
"ENSOARG00000012206",1081.72165221071,4.74117247163273,0.395845221204492,11.9773391660663,4.67075278631662e-33,9.67406317101898e-29
"ENSOARG00000012264",3725.47988522206,-1.16823523212773,0.247826988515296,-4.71391448980797,2.43002672159022e-06,0.00838845224292943
"ENSOARG00000014731",552.600615380708,-1.2592055908269,0.290404363888737,-4.33604224800612,1.45071072736832e-05,0.0214622289894662
"ENSOARG00000015262",1519.26945978123,1.72666187809071,0.389854744505677,4.42898772536439,9.46764105475431e-06,0.0186400850779111
"ENSOARG00000015547",65.9682861417803,-1.49335780538265,0.36787176194338,-4.05945212400535,4.91879914707885e-05,0.0448689314638609
"ENSOARG00000016786",2369.10605315942,1.64669162078148,0.376795846984828,4.3702488601149,1.24105015802101e-05,0.0213756034849729
"ENSOARG00000016859",24.251730628332,-1.8010146111072,0.400353611936761,-4.49855966677698,6.84153959957638e-06,0.0174427160016405
"ENSOARG00000016979",22.1147716251978,-1.75555728924774,0.392151443105637,-4.47673295639214,7.57939571334321e-06,0.0174427160016405
"ENSOARG00000017163",10.3902205358801,-1.63663403441481,0.40454605876048,-4.04560617752504,5.21879047394553e-05,0.0450381617901499
"ENSOARG00000018383",258.985685828569,-1.0643184524217,0.216202310265237,-4.92278945176854,8.53192333805099e-07,0.0044178299044428
"ENSOARG00000018592",8.98282908635804,-1.63131336184288,0.399198292548225,-4.08647379584121,4.37978927040359e-05,0.0431972358898091
"ENSOARG00000020481",9.0026632854937,-1.63143048218266,0.404526840566892,-4.03293507025745,5.5084503421527e-05,0.0456364093946667
