"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSOARG00000000345",3872.53473842387,-2.33074349058751,0.568861615663217,-4.09720646711269,4.18165908436255e-05,0.0324172927520676
"ENSOARG00000000531",2035.98641817602,1.21161278995001,0.235468313102448,5.14554495246611,2.66745314246946e-07,0.0015809558372132
"ENSOARG00000001346",143.701223285365,2.17971699445509,0.548679917429477,3.97265678078194,7.10754250082203e-05,0.0400194489742162
"ENSOARG00000001554",423.202419845442,-2.28802439088099,0.550197747462528,-4.15854917878743,3.20275285252333e-05,0.0276700989864055
"ENSOARG00000001968",470.632168456404,-2.33410481929047,0.535971584077257,-4.35490404460326,1.33125219683544e-05,0.0198659134645943
"ENSOARG00000002060",243.084348959161,-0.986856502072565,0.247707646618027,-3.98395655340559,6.77772692806786e-05,0.0400194489742162
"ENSOARG00000002778",50.4592687411428,-2.1911144287586,0.541492751613566,-4.04643353439065,5.20038814822383e-05,0.0359838533414067
"ENSOARG00000003867",12811.6850135535,-2.25098249137441,0.570298588792208,-3.94702448088043,7.91284687456505e-05,0.0400194489742162
"ENSOARG00000005014",521.74370001948,-1.96263005279619,0.457101281651777,-4.29364373187502,1.75764437621763e-05,0.0215885923021437
"ENSOARG00000005526",4913.0332459998,-1.36380802443095,0.320661631536287,-4.2531063598004,2.10825378831645e-05,0.0215885923021437
"ENSOARG00000005699",21.1711590736962,-2.70832641768424,0.541646446783518,-5.00017388421397,5.72786334347622e-07,0.00188045753566324
"ENSOARG00000005709",3123.92132562617,-2.1281784172078,0.39379830531903,-5.40423457506676,6.50857226347743e-08,0.00106838213704982
"ENSOARG00000005722",10459.5554629882,-1.9973277608847,0.468928778573646,-4.25934140139581,2.05030114250184e-05,0.0215885923021437
"ENSOARG00000005888",166.146530043221,-2.70011429020419,0.568949541871834,-4.74578867103198,2.07695471583871e-06,0.00558824913634868
"ENSOARG00000006087",16.8918597650387,-2.28279177625616,0.568195963885618,-4.01761350194263,5.87905200450939e-05,0.0371171687130853
"ENSOARG00000006822",25.5932589080057,-2.42636128711641,0.568846706957282,-4.26540447090717,1.99540379256869e-05,0.0215885923021437
"ENSOARG00000007549",71.2053615480123,1.41964440504082,0.359641178099255,3.94739115399354,7.90074179831789e-05,0.0400194489742162
"ENSOARG00000009233",21.7536506573668,-2.56460564239418,0.569966925493362,-4.4995692340819,6.80913010617849e-06,0.0123005729211197
"ENSOARG00000010649",374.461135836638,-1.79175686215085,0.453378479381155,-3.952011274546,7.74970884378477e-05,0.0400194489742162
"ENSOARG00000011304",9.1985133556237,-2.35517782387181,0.565091950323136,-4.16777804483864,3.07583213404232e-05,0.0276700989864055
"ENSOARG00000011685",3872.41420974573,-2.09223178764898,0.533782273964339,-3.91963519528331,8.86831028781863e-05,0.0415923752498694
"ENSOARG00000012165",129.557229379955,-2.53272605605571,0.565445797921018,-4.47916681911478,7.49349553525413e-06,0.0123005729211197
"ENSOARG00000012224",612.671448527355,-2.40055746473057,0.566177246122425,-4.23993984422944,2.2357969487447e-05,0.0215885923021437
"ENSOARG00000012362",1552.47619091536,-2.83770972505313,0.553103171446264,-5.13052513807331,2.8893496872614e-07,0.0015809558372132
"ENSOARG00000013183",92.6781308816092,-2.15493763763679,0.547510586795876,-3.93588304885179,8.28913350669114e-05,0.0400194489742162
"ENSOARG00000013669",362.143933370395,-2.14484121181679,0.524623823972499,-4.08834123386897,4.34468742336574e-05,0.0324172927520676
"ENSOARG00000014207",17.8280291769022,-2.26701094410182,0.531104598907692,-4.26848298577026,1.96806835854915e-05,0.0215885923021437
"ENSOARG00000014509",74.4443927924447,-2.3158027588485,0.563804203499288,-4.10745919323645,4.00035425582063e-05,0.0324172927520676
"ENSOARG00000016717",9.40140188863825,-2.25730766707673,0.559551546996714,-4.03413712140087,5.48033099930044e-05,0.0359838533414067
"ENSOARG00000017011",1248.63618160927,-2.07932248986162,0.528252931187586,-3.93622518134829,8.27733095227224e-05,0.0400194489742162
"ENSOARG00000017163",10.3902205358801,-2.18782225758261,0.566624540544115,-3.86114984621333,0.000112854660353645,0.0497910404227632
"ENSOARG00000017823",7306.06604698768,-1.9653995207396,0.50970088934174,-3.85598605346331,0.000115264059461773,0.0497910404227632
"ENSOARG00000018146",165.551511623459,-1.78322355813947,0.377970675872646,-4.7178886404942,2.38304867221692e-06,0.00558824913634868
"ENSOARG00000018396",9243.95138891939,-2.59227935599957,0.568914699202119,-4.55653432691253,5.20045434944089e-06,0.010670682268259
"ENSOARG00000019163",85.8354882620473,-2.19965362478246,0.569899290824677,-3.85972339358316,0.000113515443435924,0.0497910404227632
"ENSOARG00000019698",357.370350172338,-2.11791758672756,0.535643425311466,-3.95396916427385,7.68653200021363e-05,0.0400194489742162
"ENSOARG00000020131",126.211038467441,-2.01919853352893,0.403066138974036,-5.0095960396688,5.45444024895576e-07,0.00188045753566324
"ENSOARG00000020740",934.457266447397,0.519694906495435,0.128589084534332,4.04151649712291,5.31066442048845e-05,0.0359838533414067
