"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSOARG00000000123",331.064894680538,1.37734392311385,0.328225586857582,4.19633318748997,2.71271091450759e-05,0.0051662435452556
"ENSOARG00000000304",182.397758940856,1.36849885651144,0.379597608396671,3.60513034392301,0.00031199629735148,0.024239943642086
"ENSOARG00000000327",16738.4678457108,-0.931713689908964,0.276171628846361,-3.37367633960435,0.000741715221593476,0.0431040165725297
"ENSOARG00000000412",29.9367538830226,1.4551592134783,0.396955953785181,3.66579515838622,0.000246571238470114,0.0216530642583172
"ENSOARG00000000465",1505.16726684607,1.37473547187841,0.386788220573266,3.55423303698568,0.000379083153774278,0.0275532660263693
"ENSOARG00000000522",149.775436681468,1.05465390738008,0.289509702406415,3.64289658900466,0.000269587163523111,0.0229454412935284
"ENSOARG00000000675",24.2933915405013,1.25951353809088,0.365102675199968,3.44975160042592,0.000561102591975582,0.0354773946854321
"ENSOARG00000000684",1639.59982657778,1.15244659672311,0.307036793081644,3.7534478690854,0.00017441881859386,0.0179028458799555
"ENSOARG00000000714",101.640444844545,1.27280145833724,0.384743522491251,3.30818164291819,0.000939038818277207,0.0488655838307541
"ENSOARG00000000729",2361.52981481024,1.57782941311462,0.372431737392093,4.23656003154611,2.26970258313544e-05,0.00478637839537334
"ENSOARG00000000741",68.1855772914802,1.59843074431529,0.393515171953366,4.06192914082793,4.866885131259e-05,0.0076930853269811
"ENSOARG00000000778",194.731470334342,1.13295667332433,0.326277729875406,3.4723689960604,0.000515886725495463,0.0337934875994551
"ENSOARG00000000858",583.668567593896,1.21576863470683,0.276364978592258,4.39914145742955,1.0867997152828e-05,0.00306768626776344
"ENSOARG00000001111",112.6666934094,0.987076200897066,0.265402008270688,3.71917381985418,0.00019987547543205,0.0192350200385007
"ENSOARG00000001254",1059.88224673004,1.64280550100253,0.37664643239903,4.36166483919352,1.29076494435884e-05,0.00324299702595349
"ENSOARG00000001395",1714.35839896106,0.997860178495529,0.281139595943037,3.54934058700757,0.000386197219608382,0.0277482702288622
"ENSOARG00000001554",423.202419845442,2.18400317390317,0.381208820080649,5.72915173746798,1.0093408007315e-08,3.9886625092907e-05
"ENSOARG00000001587",80.885608125719,2.13896287555115,0.390839641888592,5.47273778375035,4.43135565917071e-08,8.13854960123849e-05
"ENSOARG00000001637",697.31227359773,1.54979913467991,0.392330079810533,3.9502429572271,7.80719026005206e-05,0.0102988444399393
"ENSOARG00000001735",747.719601029006,0.755392149186063,0.218168070445945,3.46243218653402,0.00053531679501571,0.0348220270733059
"ENSOARG00000001745",85.7907224327048,1.49280706550316,0.405751133547447,3.67911988920812,0.000234040233921606,0.020988379347018
"ENSOARG00000001783",2561.61933024332,1.5867220930756,0.403530117027979,3.932103270908,8.42058749632092e-05,0.0105941240673404
"ENSOARG00000001848",125.678919221079,1.18044341979093,0.320425755933625,3.68398419269222,0.000229616486700201,0.0208594701452304
"ENSOARG00000001968",470.632168456404,1.53292917183062,0.368586436836137,4.15894080365231,3.19726737916385e-05,0.00587665179795848
"ENSOARG00000001985",100.460971620817,1.20823358998532,0.334301016149679,3.61420854743783,0.000301266498571356,0.024239943642086
"ENSOARG00000002050",812.040762616079,1.16457015154407,0.331248134149727,3.51570327945657,0.000438590858279536,0.0304070425299325
"ENSOARG00000002053",1317.192320266,1.27573543508735,0.379489615640121,3.36171368730459,0.00077460395745162,0.0442027608499558
"ENSOARG00000002079",431.681286685248,1.08357500483644,0.292974937535775,3.69852456988451,0.000216856361335863,0.0201638147272705
"ENSOARG00000002307",43.6688990962195,1.33739801755942,0.405701171049805,3.2965101236921,0.000978940864346865,0.0497838469647494
"ENSOARG00000002489",666.43623458639,1.01734596007458,0.280112926883173,3.63191364066853,0.00028132727525384,0.0234615689955404
"ENSOARG00000002539",447.656679416044,1.90038241168107,0.37926943920399,5.01063944321375,5.4249472323778e-07,0.000476400782789977
"ENSOARG00000002639",1008.70544052371,0.882485512156307,0.234554726576376,3.76238639501026,0.000168299763342252,0.0173999319261253
"ENSOARG00000002674",181.603995046061,1.18465540371962,0.29381528032364,4.03197343043121,5.53104414730411e-05,0.00828035060416412
"ENSOARG00000002688",70.9168468578988,1.39277584334101,0.327398708632903,4.25406639249351,2.09923014381408e-05,0.0046086848448985
"ENSOARG00000002693",924.126565388337,-1.11684279310057,0.270028567128133,-4.13601718136218,3.53385743653123e-05,0.00620105925675194
"ENSOARG00000002746",7.5802578685364,-1.41318604676159,0.340163197002033,-4.15443545691141,3.26091644379799e-05,0.00592474784219711
"ENSOARG00000002778",50.4592687411428,2.03340168866021,0.37439309890924,5.43119436385003,5.5978124190239e-08,8.84846209075108e-05
"ENSOARG00000002790",886.28224726273,1.24080664265741,0.371912137450962,3.33628972466922,0.000849046304830862,0.0458538275948204
"ENSOARG00000002798",6.04796129962649,1.34802557665236,0.373633692148708,3.60788013762911,0.000308709040030018,0.024239943642086
"ENSOARG00000002887",172.193150446089,1.02805338256356,0.27433264647995,3.74747007239149,0.0001786271414169,0.0180659764538942
"ENSOARG00000002924",490.764962961697,0.934223126834827,0.184896460161265,5.05268259879072,4.35647530163204e-07,0.000459085367285984
"ENSOARG00000002991",1173.4180777906,1.18546031245413,0.328139554653672,3.61267118103241,0.000303058910418588,0.024239943642086
"ENSOARG00000003042",20.0126742774584,1.45162923331753,0.393046760592298,3.69327362253289,0.000221385591185553,0.0204610438227279
"ENSOARG00000003044",85.1060985214384,1.34651218947787,0.397242850723133,3.38964486592196,0.000699832211321634,0.0412770438968697
"ENSOARG00000003121",72.1357201172018,1.91393316412247,0.389738595089378,4.91081249903812,9.06997850238634e-07,0.000716845750936105
"ENSOARG00000003213",73.5615889099465,1.04232371640294,0.275612097267642,3.78185038587313,0.000155666916736189,0.0162955427340989
"ENSOARG00000003419",157.579652881272,0.967568085626914,0.274309629072608,3.52728443729113,0.00041984547317581,0.0296272205111162
"ENSOARG00000003577",2037.64964561509,0.443497030275162,0.128155687413161,3.46061138001135,0.00053895022994591,0.0349146978883402
"ENSOARG00000003664",22.0778795490138,-1.69417067145547,0.369829187868567,-4.58095447041232,4.62858611580716e-06,0.00166281956210372
"ENSOARG00000003875",39.1445228135718,1.60214312140283,0.359232650940795,4.45990395696764,8.19963890188893e-06,0.00259223384244317
"ENSOARG00000003895",230.300856568479,1.26523506768651,0.346048564798399,3.6562355587968,0.000255946179367901,0.0222293475674088
"ENSOARG00000004045",476.805943788281,-0.495159730666762,0.142449696907677,-3.4760321812947,0.000508891216981926,0.0335168477784721
"ENSOARG00000004049",55.7357840713372,1.85022769178161,0.396215042819677,4.66975629853527,3.01557257616331e-06,0.00142459860000611
"ENSOARG00000004395",194.70923213365,1.59565296375279,0.347146990486782,4.59647644219904,4.29695530926154e-06,0.00157958075752319
"ENSOARG00000004415",450.446008365886,1.48321987756058,0.360149837630757,4.11834109746636,3.81609567820287e-05,0.00628344004014091
