"","ensembl_gene_id","go_id"
"1","ENSOARG00000001346","GO:0001533"
"2","ENSOARG00000001346","GO:0008544"
"3","ENSOARG00000001346","GO:0030414"
"4","ENSOARG00000001346","GO:0010466"
"5","ENSOARG00000001346","GO:0004869"
"6","ENSOARG00000001346","GO:0010951"
"7","ENSOARG00000001346","GO:0070062"
"8","ENSOARG00000002865","GO:0005515"
"9","ENSOARG00000002865","GO:0030502"
"10","ENSOARG00000019163","GO:0005833"
"11","ENSOARG00000019163","GO:0019825"
"12","ENSOARG00000019163","GO:0015671"
"13","ENSOARG00000019163","GO:0005344"
"14","ENSOARG00000019163","GO:0006810"
"15","ENSOARG00000019163","GO:0020037"
"16","ENSOARG00000019163","GO:0005506"
"17","ENSOARG00000019163","GO:0046872"
