"","ensembl_gene_id","go_id"
"1","ENSOARG00000000468","GO:0046982"
"2","ENSOARG00000000468","GO:0043565"
"3","ENSOARG00000000468","GO:0005622"
"4","ENSOARG00000000468","GO:0006355"
"5","ENSOARG00000000468","GO:0005634"
"6","ENSOARG00000000468","GO:0003677"
"7","ENSOARG00000000531","GO:0035023"
"8","ENSOARG00000000531","GO:0005089"
"9","ENSOARG00000000531","GO:0043547"
"10","ENSOARG00000000531","GO:0046872"
"11","ENSOARG00000000656","GO:0005515"
"12","ENSOARG00000000870",""
"13","ENSOARG00000000936","GO:0051694"
"14","ENSOARG00000000936","GO:0005523"
"15","ENSOARG00000000936","GO:0003779"
"16","ENSOARG00000001346","GO:0001533"
"17","ENSOARG00000001346","GO:0008544"
"18","ENSOARG00000001346","GO:0030414"
"19","ENSOARG00000001346","GO:0010466"
"20","ENSOARG00000001346","GO:0004869"
"21","ENSOARG00000001346","GO:0010951"
"22","ENSOARG00000001346","GO:0070062"
"23","ENSOARG00000001933","GO:0005515"
"24","ENSOARG00000003857","GO:0052689"
"25","ENSOARG00000003857","GO:0016787"
"26","ENSOARG00000003857","GO:0016021"
"27","ENSOARG00000003857","GO:0008152"
"28","ENSOARG00000004326","GO:0005813"
"29","ENSOARG00000005124","GO:0005515"
"30","ENSOARG00000005124","GO:0034220"
"31","ENSOARG00000005124","GO:0005216"
"32","ENSOARG00000005124","GO:0016021"
"33","ENSOARG00000005124","GO:0097604"
"34","ENSOARG00000005124","GO:0005218"
"35","ENSOARG00000005124","GO:0010033"
"36","ENSOARG00000005124","GO:0051289"
"37","ENSOARG00000005124","GO:0005887"
"38","ENSOARG00000005124","GO:0019233"
"39","ENSOARG00000005124","GO:0050955"
"40","ENSOARG00000005124","GO:0014070"
"41","ENSOARG00000005124","GO:0015267"
"42","ENSOARG00000005124","GO:0032421"
"43","ENSOARG00000005124","GO:0050968"
"44","ENSOARG00000005124","GO:0048265"
"45","ENSOARG00000005124","GO:0050966"
"46","ENSOARG00000005124","GO:0005262"
"47","ENSOARG00000005124","GO:0042542"
"48","ENSOARG00000005124","GO:0009409"
"49","ENSOARG00000005124","GO:0007166"
"50","ENSOARG00000005124","GO:0006816"
"51","ENSOARG00000005124","GO:0042493"
"52","ENSOARG00000005450","GO:0004497"
"53","ENSOARG00000005450","GO:0016705"
"54","ENSOARG00000005450","GO:0020037"
"55","ENSOARG00000005450","GO:0005506"
"56","ENSOARG00000005450","GO:0055114"
"57","ENSOARG00000005450","GO:0016491"
"58","ENSOARG00000005450","GO:0046872"
"59","ENSOARG00000006214","GO:0003050"
"60","ENSOARG00000006214","GO:0090277"
"61","ENSOARG00000006214","GO:0005515"
"62","ENSOARG00000006214","GO:0015031"
"63","ENSOARG00000006214","GO:0007264"
"64","ENSOARG00000006214","GO:0005622"
"65","ENSOARG00000006214","GO:0016020"
"66","ENSOARG00000006214","GO:0005525"
"67","ENSOARG00000006214","GO:0000166"
"68","ENSOARG00000006214","GO:0007165"
"69","ENSOARG00000006935","GO:0005622"
"70","ENSOARG00000006935","GO:0046872"
"71","ENSOARG00000006935","GO:0003676"
"72","ENSOARG00000006935","GO:0006355"
"73","ENSOARG00000008443",""
"74","ENSOARG00000008660","GO:0008484"
"75","ENSOARG00000008660","GO:0003824"
"76","ENSOARG00000008660","GO:0008152"
"77","ENSOARG00000008693","GO:0035556"
"78","ENSOARG00000008693","GO:0016567"
"79","ENSOARG00000008693","GO:0005622"
"80","ENSOARG00000008693","GO:0005515"
"81","ENSOARG00000008693","GO:0007205"
"82","ENSOARG00000008693","GO:0005886"
"83","ENSOARG00000008838","GO:0005515"
"84","ENSOARG00000008842","GO:0002066"
"85","ENSOARG00000008842","GO:0010966"
"86","ENSOARG00000008842","GO:0023014"
"87","ENSOARG00000008842","GO:0070372"
"88","ENSOARG00000008842","GO:0008283"
"89","ENSOARG00000008842","GO:0038083"
"90","ENSOARG00000008842","GO:0007283"
"91","ENSOARG00000008842","GO:0010629"
"92","ENSOARG00000008842","GO:0048471"
"93","ENSOARG00000008842","GO:0009986"
"94","ENSOARG00000008842","GO:0030154"
"95","ENSOARG00000008842","GO:0005515"
"96","ENSOARG00000008842","GO:0016740"
"97","ENSOARG00000008842","GO:0016310"
"98","ENSOARG00000008842","GO:0016301"
"99","ENSOARG00000008842","GO:0007169"
"100","ENSOARG00000008842","GO:0004714"
