"","ensembl_gene_id","go_id"
"1","ENSOARG00000000217","GO:0042742"
"2","ENSOARG00000000217","GO:0006952"
"3","ENSOARG00000000217","GO:0005576"
"4","ENSOARG00000000936","GO:0051694"
"5","ENSOARG00000000936","GO:0005523"
"6","ENSOARG00000000936","GO:0003779"
"7","ENSOARG00000001138","GO:0016874"
"8","ENSOARG00000001138","GO:0016567"
"9","ENSOARG00000001138","GO:0004842"
"10","ENSOARG00000001138","GO:0008152"
"11","ENSOARG00000001933","GO:0005515"
"12","ENSOARG00000003366","GO:0016021"
"13","ENSOARG00000005450","GO:0004497"
"14","ENSOARG00000005450","GO:0016705"
"15","ENSOARG00000005450","GO:0020037"
"16","ENSOARG00000005450","GO:0005506"
"17","ENSOARG00000005450","GO:0055114"
"18","ENSOARG00000005450","GO:0016491"
"19","ENSOARG00000005450","GO:0046872"
"20","ENSOARG00000008660","GO:0008484"
"21","ENSOARG00000008660","GO:0003824"
"22","ENSOARG00000008660","GO:0008152"
"23","ENSOARG00000008786","GO:0019372"
"24","ENSOARG00000008786","GO:0019369"
"25","ENSOARG00000008786","GO:0016702"
"26","ENSOARG00000008786","GO:0005515"
"27","ENSOARG00000008786","GO:0051213"
"28","ENSOARG00000008786","GO:0005506"
"29","ENSOARG00000008786","GO:0055114"
"30","ENSOARG00000008786","GO:0016491"
"31","ENSOARG00000008786","GO:0046872"
"32","ENSOARG00000008838","GO:0005515"
"33","ENSOARG00000008913","GO:0008270"
"34","ENSOARG00000008913","GO:0046872"
"35","ENSOARG00000008913","GO:1903920"
"36","ENSOARG00000008913","GO:0033365"
"37","ENSOARG00000008913","GO:1903919"
"38","ENSOARG00000008913","GO:0045663"
"39","ENSOARG00000008913","GO:0031433"
"40","ENSOARG00000008913","GO:0035995"
"41","ENSOARG00000008913","GO:0003300"
"42","ENSOARG00000008913","GO:0008307"
"43","ENSOARG00000008913","GO:0060048"
"44","ENSOARG00000008913","GO:0045662"
"45","ENSOARG00000008913","GO:0030018"
"46","ENSOARG00000008913","GO:0005515"
"47","ENSOARG00000008913","GO:0045944"
"48","ENSOARG00000008913","GO:0002026"
"49","ENSOARG00000008913","GO:0048738"
"50","ENSOARG00000008913","GO:0055003"
"51","ENSOARG00000008913","GO:0042805"
"52","ENSOARG00000008913","GO:0006874"
"53","ENSOARG00000009097","GO:0016779"
"54","ENSOARG00000009097","GO:0003725"
"55","ENSOARG00000009097","GO:0003723"
"56","ENSOARG00000009097","GO:0051607"
"57","ENSOARG00000009097","GO:0016740"
"58","ENSOARG00000009097","GO:0005524"
"59","ENSOARG00000009097","GO:0006955"
"60","ENSOARG00000009097","GO:0018377"
"61","ENSOARG00000009097","GO:0001730"
"62","ENSOARG00000009097","GO:0006164"
"63","ENSOARG00000009097","GO:0005515"
"64","ENSOARG00000009097","GO:0048471"
"65","ENSOARG00000009097","GO:0006486"
"66","ENSOARG00000009097","GO:0016020"
"67","ENSOARG00000009097","GO:0005737"
"68","ENSOARG00000009097","GO:0008270"
"69","ENSOARG00000009097","GO:0006401"
"70","ENSOARG00000009563","GO:0008484"
"71","ENSOARG00000009563","GO:0003824"
"72","ENSOARG00000009563","GO:0008152"
"73","ENSOARG00000010230","GO:0007218"
"74","ENSOARG00000010230","GO:0005576"
"75","ENSOARG00000010230","GO:0032277"
"76","ENSOARG00000010332",""
"77","ENSOARG00000012206","GO:0005739"
"78","ENSOARG00000012206","GO:0006730"
"79","ENSOARG00000012206","GO:0004089"
"80","ENSOARG00000012206","GO:0008270"
"81","ENSOARG00000012206","GO:0046872"
"82","ENSOARG00000012264","GO:0005515"
"83","ENSOARG00000012264","GO:0005488"
"84","ENSOARG00000012264","GO:0004463"
"85","ENSOARG00000012264","GO:0019370"
"86","ENSOARG00000012264","GO:0008237"
"87","ENSOARG00000012264","GO:0005737"
"88","ENSOARG00000012264","GO:0008270"
"89","ENSOARG00000012264","GO:0016787"
"90","ENSOARG00000012264","GO:0008233"
"91","ENSOARG00000012264","GO:0046872"
"92","ENSOARG00000012264","GO:0006508"
"93","ENSOARG00000012264","GO:0043171"
"94","ENSOARG00000012264","GO:0070062"
"95","ENSOARG00000012264","GO:0044822"
"96","ENSOARG00000012264","GO:0005654"
"97","ENSOARG00000012264","GO:0004177"
"98","ENSOARG00000014731","GO:0016817"
"99","ENSOARG00000014731","GO:0004386"
"100","ENSOARG00000014731","GO:0005524"
"101","ENSOARG00000014731","GO:0016787"
"102","ENSOARG00000014731","GO:0003676"
"103","ENSOARG00000014731","GO:0003677"
"104","ENSOARG00000014731","GO:0008152"
"105","ENSOARG00000014731","GO:0000166"
"106","ENSOARG00000014731","GO:0039529"
"107","ENSOARG00000014731","GO:0032725"
"108","ENSOARG00000014731","GO:0032587"
"109","ENSOARG00000014731","GO:0009597"
"110","ENSOARG00000014731","GO:0002230"
"111","ENSOARG00000014731","GO:0042993"
"112","ENSOARG00000014731","GO:0032757"
"113","ENSOARG00000014731","GO:0032755"
"114","ENSOARG00000014731","GO:0032728"
"115","ENSOARG00000014731","GO:0032727"
"116","ENSOARG00000014731","GO:0003727"
"117","ENSOARG00000014731","GO:0010628"
"118","ENSOARG00000014731","GO:0042802"
"119","ENSOARG00000014731","GO:0005515"
"120","ENSOARG00000014731","GO:0015629"
"121","ENSOARG00000014731","GO:0030334"
"122","ENSOARG00000014731","GO:0005923"
"123","ENSOARG00000014731","GO:0045944"
"124","ENSOARG00000014731","GO:0005737"
"125","ENSOARG00000014731","GO:0008270"
"126","ENSOARG00000014731","GO:0003690"
"127","ENSOARG00000014731","GO:0043330"
"128","ENSOARG00000014731","GO:0009615"
"129","ENSOARG00000015262","GO:0005615"
"130","ENSOARG00000015262","GO:0061044"
"131","ENSOARG00000015262","GO:0035491"
"132","ENSOARG00000015262","GO:0010757"
"133","ENSOARG00000015262","GO:0001300"
"134","ENSOARG00000015262","GO:2000098"
"135","ENSOARG00000015262","GO:0010469"
"136","ENSOARG00000015262","GO:0051918"
"137","ENSOARG00000015262","GO:0030194"
"138","ENSOARG00000015262","GO:0014912"
"139","ENSOARG00000015262","GO:0033629"
"140","ENSOARG00000015262","GO:0045766"
"141","ENSOARG00000015262","GO:1902042"
"142","ENSOARG00000015262","GO:2000352"
"143","ENSOARG00000015262","GO:0048260"
"144","ENSOARG00000015262","GO:0050829"
"145","ENSOARG00000015262","GO:0032757"
"146","ENSOARG00000015262","GO:0090026"
"147","ENSOARG00000015262","GO:0050729"
"148","ENSOARG00000015262","GO:0002020"
"149","ENSOARG00000015262","GO:0071222"
"150","ENSOARG00000015262","GO:0070062"
"151","ENSOARG00000015262","GO:0005515"
"152","ENSOARG00000015262","GO:0030336"
"153","ENSOARG00000015262","GO:0005102"
"154","ENSOARG00000015262","GO:0031012"
"155","ENSOARG00000015262","GO:0004867"
"156","ENSOARG00000015262","GO:0010951"
"157","ENSOARG00000015262","GO:0001525"
"158","ENSOARG00000015262","GO:0042127"
"159","ENSOARG00000015262","GO:0071560"
"160","ENSOARG00000015262","GO:0001890"
"161","ENSOARG00000015262","GO:0045765"
"162","ENSOARG00000015547","GO:0048208"
"163","ENSOARG00000015547","GO:0000139"
"164","ENSOARG00000015547","GO:0070863"
"165","ENSOARG00000015547","GO:0070972"
"166","ENSOARG00000015547","GO:0007031"
"167","ENSOARG00000015547","GO:0016559"
"168","ENSOARG00000015547","GO:0010628"
"169","ENSOARG00000015547","GO:0005515"
"170","ENSOARG00000015547","GO:0007029"
"171","ENSOARG00000015547","GO:0043231"
"172","ENSOARG00000016786","GO:0045095"
"173","ENSOARG00000016786","GO:0005882"
"174","ENSOARG00000016786","GO:0005198"
"175","ENSOARG00000016786","GO:0097110"
"176","ENSOARG00000016786","GO:0045111"
"177","ENSOARG00000016786","GO:0070062"
"178","ENSOARG00000016786","GO:0005515"
"179","ENSOARG00000016786","GO:0005737"
"180","ENSOARG00000016786","GO:0005634"
"181","ENSOARG00000016786","GO:0005911"
"182","ENSOARG00000016786","GO:0071944"
"183","ENSOARG00000016786","GO:0042383"
"184","ENSOARG00000016786","GO:0030018"
"185","ENSOARG00000016786","GO:0051707"
"186","ENSOARG00000016786","GO:0097191"
"187","ENSOARG00000016786","GO:0097284"
"188","ENSOARG00000016786","GO:0033209"
"189","ENSOARG00000016786","GO:0060706"
"190","ENSOARG00000016859",""
"191","ENSOARG00000016979","GO:0005328"
"192","ENSOARG00000016979","GO:0006836"
"193","ENSOARG00000016979","GO:0015293"
"194","ENSOARG00000016979","GO:0055085"
"195","ENSOARG00000016979","GO:0006810"
"196","ENSOARG00000016979","GO:0016021"
"197","ENSOARG00000016979","GO:0016020"
"198","ENSOARG00000016979","GO:0031982"
"199","ENSOARG00000016979","GO:0009636"
"200","ENSOARG00000016979","GO:0070062"
"201","ENSOARG00000017163","GO:0045095"
"202","ENSOARG00000017163","GO:0005882"
"203","ENSOARG00000017163","GO:0005198"
"204","ENSOARG00000018383","GO:0032481"
"205","ENSOARG00000018383","GO:1900246"
"206","ENSOARG00000018383","GO:1900245"
"207","ENSOARG00000018383","GO:0009615"
"208","ENSOARG00000018383","GO:0005737"
"209","ENSOARG00000018383","GO:0016817"
"210","ENSOARG00000018383","GO:0005524"
"211","ENSOARG00000018383","GO:0016787"
"212","ENSOARG00000018383","GO:0003676"
"213","ENSOARG00000018383","GO:0003677"
"214","ENSOARG00000018383","GO:0008152"
"215","ENSOARG00000018383","GO:0039536"
"216","ENSOARG00000018383","GO:0039534"
"217","ENSOARG00000018383","GO:0045088"
"218","ENSOARG00000018383","GO:0003727"
