"","ensembl_gene_id","go_id"
"1","ENSOARG00000002559",""
"2","ENSOARG00000004833",""
"3","ENSOARG00000008913","GO:0008270"
"4","ENSOARG00000008913","GO:0046872"
"5","ENSOARG00000008913","GO:1903920"
"6","ENSOARG00000008913","GO:0033365"
"7","ENSOARG00000008913","GO:1903919"
"8","ENSOARG00000008913","GO:0045663"
"9","ENSOARG00000008913","GO:0031433"
"10","ENSOARG00000008913","GO:0035995"
"11","ENSOARG00000008913","GO:0003300"
"12","ENSOARG00000008913","GO:0008307"
"13","ENSOARG00000008913","GO:0060048"
"14","ENSOARG00000008913","GO:0045662"
"15","ENSOARG00000008913","GO:0030018"
"16","ENSOARG00000008913","GO:0005515"
"17","ENSOARG00000008913","GO:0045944"
"18","ENSOARG00000008913","GO:0002026"
"19","ENSOARG00000008913","GO:0048738"
"20","ENSOARG00000008913","GO:0055003"
"21","ENSOARG00000008913","GO:0042805"
"22","ENSOARG00000008913","GO:0006874"
"23","ENSOARG00000011885","GO:0008236"
"24","ENSOARG00000011885","GO:0006508"
"25","ENSOARG00000011885","GO:0016020"
"26","ENSOARG00000011885","GO:0090004"
"27","ENSOARG00000012206","GO:0005739"
"28","ENSOARG00000012206","GO:0006730"
"29","ENSOARG00000012206","GO:0004089"
"30","ENSOARG00000012206","GO:0008270"
"31","ENSOARG00000012206","GO:0046872"
