"","ensembl_gene_id","go_id"
"1","ENSOARG00000000345","GO:0016020"
"2","ENSOARG00000000531","GO:0035023"
"3","ENSOARG00000000531","GO:0005089"
"4","ENSOARG00000000531","GO:0043547"
"5","ENSOARG00000000531","GO:0046872"
"6","ENSOARG00000001346","GO:0001533"
"7","ENSOARG00000001346","GO:0008544"
"8","ENSOARG00000001346","GO:0030414"
"9","ENSOARG00000001346","GO:0010466"
"10","ENSOARG00000001346","GO:0004869"
"11","ENSOARG00000001346","GO:0010951"
"12","ENSOARG00000001346","GO:0070062"
"13","ENSOARG00000001554","GO:0005515"
"14","ENSOARG00000001554","GO:0005509"
"15","ENSOARG00000001554","GO:1903561"
"16","ENSOARG00000001554","GO:0070062"
"17","ENSOARG00000001554","GO:0010811"
"18","ENSOARG00000001554","GO:0050840"
"19","ENSOARG00000001968","GO:0001527"
"20","ENSOARG00000001968","GO:0060216"
"21","ENSOARG00000001968","GO:0043206"
"22","ENSOARG00000001968","GO:0005578"
"23","ENSOARG00000001968","GO:0005515"
"24","ENSOARG00000002060","GO:0080008"
"25","ENSOARG00000002778","GO:0043565"
"26","ENSOARG00000002778","GO:0006355"
"27","ENSOARG00000002778","GO:0006351"
"28","ENSOARG00000002778","GO:0005634"
"29","ENSOARG00000002778","GO:0003700"
"30","ENSOARG00000002778","GO:0003677"
"31","ENSOARG00000003867","GO:0004497"
"32","ENSOARG00000003867","GO:0016705"
"33","ENSOARG00000003867","GO:0020037"
"34","ENSOARG00000003867","GO:0005506"
"35","ENSOARG00000003867","GO:0055114"
"36","ENSOARG00000003867","GO:0016491"
"37","ENSOARG00000003867","GO:0046872"
"38","ENSOARG00000003867","GO:0005739"
"39","ENSOARG00000005014","GO:0030036"
"40","ENSOARG00000005014","GO:0003779"
"41","ENSOARG00000005014","GO:0008270"
"42","ENSOARG00000005014","GO:0046872"
"43","ENSOARG00000005014","GO:0006351"
"44","ENSOARG00000005014","GO:1903955"
"45","ENSOARG00000005014","GO:0001725"
"46","ENSOARG00000005014","GO:0030032"
"47","ENSOARG00000005014","GO:0030027"
"48","ENSOARG00000005014","GO:0005515"
"49","ENSOARG00000005014","GO:0042384"
"50","ENSOARG00000005014","GO:0045944"
"51","ENSOARG00000005526","GO:0005509"
"52","ENSOARG00000005699",""
"53","ENSOARG00000005709","GO:0070062"
"54","ENSOARG00000005722","GO:0048625"
"55","ENSOARG00000005722","GO:0043619"
"56","ENSOARG00000005722","GO:0001892"
"57","ENSOARG00000005722","GO:0001974"
"58","ENSOARG00000005722","GO:0007005"
"59","ENSOARG00000005722","GO:0043129"
"60","ENSOARG00000005722","GO:0030218"
"61","ENSOARG00000005722","GO:0048469"
"62","ENSOARG00000005722","GO:0002027"
"63","ENSOARG00000005722","GO:0030324"
"64","ENSOARG00000005722","GO:0030097"
"65","ENSOARG00000005722","GO:0001525"
"66","ENSOARG00000005722","GO:0042415"
"67","ENSOARG00000005722","GO:0055072"
"68","ENSOARG00000005722","GO:0006979"
"69","ENSOARG00000005722","GO:0007601"
"70","ENSOARG00000005722","GO:0030154"
"71","ENSOARG00000005722","GO:0006366"
"72","ENSOARG00000005722","GO:0005634"
"73","ENSOARG00000005722","GO:0005515"
"74","ENSOARG00000005722","GO:0003700"
"75","ENSOARG00000005722","GO:0001077"
"76","ENSOARG00000005722","GO:0016607"
"77","ENSOARG00000005722","GO:0005737"
"78","ENSOARG00000005722","GO:0046983"
"79","ENSOARG00000005722","GO:0005667"
"80","ENSOARG00000005722","GO:0006355"
"81","ENSOARG00000005722","GO:0006351"
"82","ENSOARG00000005722","GO:0004871"
"83","ENSOARG00000005722","GO:0007165"
"84","ENSOARG00000005722","GO:0035035"
"85","ENSOARG00000005722","GO:0001666"
"86","ENSOARG00000005722","GO:0008134"
"87","ENSOARG00000005722","GO:0043565"
"88","ENSOARG00000005722","GO:0046982"
"89","ENSOARG00000005722","GO:0045944"
"90","ENSOARG00000005722","GO:0003677"
"91","ENSOARG00000005888","GO:0008237"
"92","ENSOARG00000005888","GO:0004222"
"93","ENSOARG00000005888","GO:0030154"
"94","ENSOARG00000005888","GO:0006508"
"95","ENSOARG00000005888","GO:0016020"
"96","ENSOARG00000005888","GO:0004175"
"97","ENSOARG00000006087","GO:0004867"
"98","ENSOARG00000006087","GO:0010951"
"99","ENSOARG00000006822","GO:0005515"
"100","ENSOARG00000006822","GO:0016021"
"101","ENSOARG00000006822","GO:0016020"
"102","ENSOARG00000006822","GO:0007165"
"103","ENSOARG00000006822","GO:0007162"
"104","ENSOARG00000006822","GO:0034260"
"105","ENSOARG00000006822","GO:0001938"
"106","ENSOARG00000006822","GO:0019904"
"107","ENSOARG00000006822","GO:0050918"
"108","ENSOARG00000006822","GO:0030336"
"109","ENSOARG00000006822","GO:0060326"
"110","ENSOARG00000006822","GO:0071526"
"111","ENSOARG00000006822","GO:0017154"
"112","ENSOARG00000006822","GO:0051022"
"113","ENSOARG00000007549","GO:0070915"
"114","ENSOARG00000007549","GO:0007186"
"115","ENSOARG00000007549","GO:0004930"
"116","ENSOARG00000007549","GO:0004871"
"117","ENSOARG00000007549","GO:0016021"
"118","ENSOARG00000007549","GO:0007165"
"119","ENSOARG00000007549","GO:0009986"
"120","ENSOARG00000007549","GO:0005515"
"121","ENSOARG00000007549","GO:0030139"
"122","ENSOARG00000007549","GO:0035025"
"123","ENSOARG00000007549","GO:0030165"
"124","ENSOARG00000007549","GO:0043410"
"125","ENSOARG00000007549","GO:0000187"
"126","ENSOARG00000009233","GO:0032426"
"127","ENSOARG00000009233","GO:0005515"
"128","ENSOARG00000009233","GO:0042802"
"129","ENSOARG00000009233","GO:0007605"
"130","ENSOARG00000009233","GO:0005615"
"131","ENSOARG00000010649","GO:0005515"
"132","ENSOARG00000010649","GO:0045499"
"133","ENSOARG00000010649","GO:0007411"
"134","ENSOARG00000010649","GO:1902285"
"135","ENSOARG00000010649","GO:1901166"
"136","ENSOARG00000010649","GO:0097491"
"137","ENSOARG00000010649","GO:0097490"
"138","ENSOARG00000010649","GO:0061549"
"139","ENSOARG00000010649","GO:0036486"
"140","ENSOARG00000010649","GO:0021637"
"141","ENSOARG00000010649","GO:0048846"
"142","ENSOARG00000010649","GO:0021785"
"143","ENSOARG00000010649","GO:0021612"
"144","ENSOARG00000010649","GO:0021675"
"145","ENSOARG00000010649","GO:1902287"
"146","ENSOARG00000010649","GO:0050919"
"147","ENSOARG00000010649","GO:0048843"
"148","ENSOARG00000010649","GO:0001755"
"149","ENSOARG00000011304","GO:0005515"
"150","ENSOARG00000011304","GO:0016020"
"151","ENSOARG00000011304","GO:0005509"
"152","ENSOARG00000011685","GO:0016021"
"153","ENSOARG00000011685","GO:0016020"
"154","ENSOARG00000012165","GO:0005515"
"155","ENSOARG00000012165","GO:0031012"
"156","ENSOARG00000012165","GO:0008237"
"157","ENSOARG00000012165","GO:0004222"
"158","ENSOARG00000012165","GO:0005578"
"159","ENSOARG00000012165","GO:0008270"
"160","ENSOARG00000012165","GO:0006508"
"161","ENSOARG00000012165","GO:0005576"
"162","ENSOARG00000012224","GO:0035556"
"163","ENSOARG00000012224","GO:0004715"
"164","ENSOARG00000012224","GO:0016740"
"165","ENSOARG00000012224","GO:0016310"
"166","ENSOARG00000012224","GO:0016301"
"167","ENSOARG00000012224","GO:0018108"
"168","ENSOARG00000012224","GO:0016772"
"169","ENSOARG00000012224","GO:0006468"
"170","ENSOARG00000012224","GO:0005524"
"171","ENSOARG00000012224","GO:0004713"
"172","ENSOARG00000012224","GO:0004672"
"173","ENSOARG00000012224","GO:0005622"
"174","ENSOARG00000012224","GO:0000166"
"175","ENSOARG00000012362","GO:0005634"
"176","ENSOARG00000012362","GO:0005515"
"177","ENSOARG00000012362","GO:0030193"
"178","ENSOARG00000012362","GO:0010468"
"179","ENSOARG00000013183","GO:0001778"
"180","ENSOARG00000013183","GO:0005764"
"181","ENSOARG00000013183","GO:0006887"
"182","ENSOARG00000013183","GO:0005515"
"183","ENSOARG00000013183","GO:0016020"
"184","ENSOARG00000013183","GO:0070062"
"185","ENSOARG00000013669","GO:0004983"
"186","ENSOARG00000013669","GO:0007218"
"187","ENSOARG00000013669","GO:0007186"
"188","ENSOARG00000013669","GO:0004930"
"189","ENSOARG00000013669","GO:0004871"
"190","ENSOARG00000013669","GO:0016021"
"191","ENSOARG00000013669","GO:0007165"
"192","ENSOARG00000013669","GO:0003151"
"193","ENSOARG00000013669","GO:0005515"
"194","ENSOARG00000013669","GO:0001602"
"195","ENSOARG00000013669","GO:0001601"
"196","ENSOARG00000013669","GO:0007631"
"197","ENSOARG00000013669","GO:0040014"
"198","ENSOARG00000013669","GO:0019233"
"199","ENSOARG00000013669","GO:0007626"
"200","ENSOARG00000013669","GO:0006006"
"201","ENSOARG00000013669","GO:0008217"
"202","ENSOARG00000014207","GO:0046636"
"203","ENSOARG00000014207","GO:0042755"
"204","ENSOARG00000014207","GO:0001975"
"205","ENSOARG00000014207","GO:0060080"
"206","ENSOARG00000014207","GO:0032230"
"207","ENSOARG00000014207","GO:0050728"
"208","ENSOARG00000014207","GO:0001973"
"209","ENSOARG00000014207","GO:0007626"
"210","ENSOARG00000014207","GO:0001963"
"211","ENSOARG00000014207","GO:0030819"
"212","ENSOARG00000014207","GO:0007189"
"213","ENSOARG00000014207","GO:2001235"
"214","ENSOARG00000014207","GO:0016020"
"215","ENSOARG00000014207","GO:0001609"
"216","ENSOARG00000014207","GO:0007186"
"217","ENSOARG00000014207","GO:0004930"
"218","ENSOARG00000014207","GO:0004871"
"219","ENSOARG00000014207","GO:0016021"
"220","ENSOARG00000014207","GO:0007165"
"221","ENSOARG00000014509","GO:0004553"
"222","ENSOARG00000014509","GO:0016798"
"223","ENSOARG00000014509","GO:0005975"
"224","ENSOARG00000014509","GO:0030246"
"225","ENSOARG00000014509","GO:0003824"
"226","ENSOARG00000014509","GO:0016787"
"227","ENSOARG00000014509","GO:0008152"
"228","ENSOARG00000014509","GO:0070062"
"229","ENSOARG00000014509","GO:0004558"
"230","ENSOARG00000014509","GO:0016160"
"231","ENSOARG00000016717","GO:0031433"
"232","ENSOARG00000016717","GO:0005515"
"233","ENSOARG00000016717","GO:0030018"
"234","ENSOARG00000016717","GO:0015629"
"235","ENSOARG00000016717","GO:0003779"
"236","ENSOARG00000017011","GO:0005789"
"237","ENSOARG00000017011","GO:0005783"
"238","ENSOARG00000017011","GO:0004497"
"239","ENSOARG00000017011","GO:0016705"
"240","ENSOARG00000017011","GO:0020037"
"241","ENSOARG00000017011","GO:0005506"
"242","ENSOARG00000017011","GO:0055114"
"243","ENSOARG00000017011","GO:0016491"
"244","ENSOARG00000017011","GO:0046872"
"245","ENSOARG00000017011","GO:0016020"
"246","ENSOARG00000017011","GO:0050679"
"247","ENSOARG00000017011","GO:0033147"
"248","ENSOARG00000017011","GO:0060740"
"249","ENSOARG00000017011","GO:0008396"
"250","ENSOARG00000017163","GO:0045095"
"251","ENSOARG00000017163","GO:0005882"
"252","ENSOARG00000017163","GO:0005198"
"253","ENSOARG00000017823","GO:0042060"
"254","ENSOARG00000017823","GO:0009986"
"255","ENSOARG00000017823","GO:0030308"
"256","ENSOARG00000017823","GO:0005515"
"257","ENSOARG00000017823","GO:0005887"
"258","ENSOARG00000018146","GO:0005515"
"259","ENSOARG00000018146","GO:0070733"
"260","ENSOARG00000018146","GO:0018117"
"261","ENSOARG00000018396","GO:0007155"
"262","ENSOARG00000018396","GO:0016021"
"263","ENSOARG00000018396","GO:0016020"
"264","ENSOARG00000018396","GO:0070506"
"265","ENSOARG00000018396","GO:0015920"
"266","ENSOARG00000018396","GO:0044406"
"267","ENSOARG00000018396","GO:0010886"
"268","ENSOARG00000018396","GO:0030169"
"269","ENSOARG00000018396","GO:0034384"
"270","ENSOARG00000018396","GO:0051000"
"271","ENSOARG00000018396","GO:0043654"
"272","ENSOARG00000018396","GO:0032497"
"273","ENSOARG00000018396","GO:0031663"
"274","ENSOARG00000018396","GO:0001875"
"275","ENSOARG00000018396","GO:0001530"
"276","ENSOARG00000018396","GO:0035461"
"277","ENSOARG00000018396","GO:0034185"
"278","ENSOARG00000018396","GO:0005765"
"279","ENSOARG00000018396","GO:0043691"
"280","ENSOARG00000018396","GO:0034186"
"281","ENSOARG00000018396","GO:0070062"
"282","ENSOARG00000018396","GO:0005515"
"283","ENSOARG00000018396","GO:0005737"
"284","ENSOARG00000018396","GO:0005887"
"285","ENSOARG00000018396","GO:0009986"
"286","ENSOARG00000018396","GO:0043534"
"287","ENSOARG00000018396","GO:0008035"
"288","ENSOARG00000018396","GO:0005901"
"289","ENSOARG00000018396","GO:0015914"
"290","ENSOARG00000018396","GO:0010867"
"291","ENSOARG00000018396","GO:0070328"
"292","ENSOARG00000018396","GO:0042632"
"293","ENSOARG00000018396","GO:0001935"
"294","ENSOARG00000018396","GO:0030301"
"295","ENSOARG00000018396","GO:0034383"
"296","ENSOARG00000018396","GO:0034375"
