"","ensembl_gene_id","go_id"
"1","ENSOARG00000000531","GO:0035023"
"2","ENSOARG00000000531","GO:0005089"
"3","ENSOARG00000000531","GO:0043547"
"4","ENSOARG00000000531","GO:0046872"
"5","ENSOARG00000000870",""
"6","ENSOARG00000000879",""
"7","ENSOARG00000000936","GO:0051694"
"8","ENSOARG00000000936","GO:0005523"
"9","ENSOARG00000000936","GO:0003779"
"10","ENSOARG00000001346","GO:0001533"
"11","ENSOARG00000001346","GO:0008544"
"12","ENSOARG00000001346","GO:0030414"
"13","ENSOARG00000001346","GO:0010466"
"14","ENSOARG00000001346","GO:0004869"
"15","ENSOARG00000001346","GO:0010951"
"16","ENSOARG00000001346","GO:0070062"
"17","ENSOARG00000001968","GO:0001527"
"18","ENSOARG00000001968","GO:0060216"
"19","ENSOARG00000001968","GO:0043206"
"20","ENSOARG00000001968","GO:0005578"
"21","ENSOARG00000001968","GO:0005515"
"22","ENSOARG00000002031",""
"23","ENSOARG00000003044","GO:0090131"
"24","ENSOARG00000003044","GO:0044297"
"25","ENSOARG00000003044","GO:0030175"
"26","ENSOARG00000003044","GO:0010628"
"27","ENSOARG00000003044","GO:0030027"
"28","ENSOARG00000003044","GO:0005737"
"29","ENSOARG00000003044","GO:0005524"
"30","ENSOARG00000003044","GO:0000166"
"31","ENSOARG00000003044","GO:0030240"
"32","ENSOARG00000003044","GO:0001725"
"33","ENSOARG00000003044","GO:0005865"
"34","ENSOARG00000003044","GO:0070062"
"35","ENSOARG00000003044","GO:0072562"
"36","ENSOARG00000003044","GO:0005515"
"37","ENSOARG00000003044","GO:0005884"
"38","ENSOARG00000003044","GO:0030017"
"39","ENSOARG00000003044","GO:0015629"
"40","ENSOARG00000003044","GO:0005615"
"41","ENSOARG00000003044","GO:0048741"
"42","ENSOARG00000003121","GO:0045600"
"43","ENSOARG00000003121","GO:0005515"
"44","ENSOARG00000005014","GO:0030036"
"45","ENSOARG00000005014","GO:0003779"
"46","ENSOARG00000005014","GO:0008270"
"47","ENSOARG00000005014","GO:0046872"
"48","ENSOARG00000005014","GO:0006351"
"49","ENSOARG00000005014","GO:1903955"
"50","ENSOARG00000005014","GO:0001725"
"51","ENSOARG00000005014","GO:0030032"
"52","ENSOARG00000005014","GO:0030027"
"53","ENSOARG00000005014","GO:0005515"
"54","ENSOARG00000005014","GO:0042384"
"55","ENSOARG00000005014","GO:0045944"
"56","ENSOARG00000005450","GO:0004497"
"57","ENSOARG00000005450","GO:0016705"
"58","ENSOARG00000005450","GO:0020037"
"59","ENSOARG00000005450","GO:0005506"
"60","ENSOARG00000005450","GO:0055114"
"61","ENSOARG00000005450","GO:0016491"
"62","ENSOARG00000005450","GO:0046872"
"63","ENSOARG00000005699",""
"64","ENSOARG00000005854","GO:0005515"
"65","ENSOARG00000005854","GO:0007166"
"66","ENSOARG00000005854","GO:0004888"
"67","ENSOARG00000005854","GO:0007186"
"68","ENSOARG00000005854","GO:0004930"
"69","ENSOARG00000005854","GO:0004871"
"70","ENSOARG00000005854","GO:0005886"
"71","ENSOARG00000005854","GO:0016021"
"72","ENSOARG00000005854","GO:0016020"
"73","ENSOARG00000005854","GO:0007165"
"74","ENSOARG00000005854","GO:0098609"
"75","ENSOARG00000005854","GO:0005887"
"76","ENSOARG00000005854","GO:0005509"
"77","ENSOARG00000005854","GO:0005911"
"78","ENSOARG00000005854","GO:0001764"
"79","ENSOARG00000005854","GO:0030424"
"80","ENSOARG00000005854","GO:0007416"
"81","ENSOARG00000005854","GO:0051965"
"82","ENSOARG00000005854","GO:0042220"
"83","ENSOARG00000005854","GO:0031987"
"84","ENSOARG00000006408","GO:0005515"
"85","ENSOARG00000006557","GO:1902261"
"86","ENSOARG00000006557","GO:1901381"
"87","ENSOARG00000006557","GO:0034704"
"88","ENSOARG00000006557","GO:0005635"
"89","ENSOARG00000006557","GO:0060306"
"90","ENSOARG00000006557","GO:0044325"
"91","ENSOARG00000006557","GO:0016529"
"92","ENSOARG00000006557","GO:0071320"
"93","ENSOARG00000006557","GO:0031965"
"94","ENSOARG00000006557","GO:0008179"
"95","ENSOARG00000006941","GO:0005515"
"96","ENSOARG00000007322","GO:0005515"
"97","ENSOARG00000007322","GO:0019882"
"98","ENSOARG00000007322","GO:0016021"
"99","ENSOARG00000007322","GO:0016020"
"100","ENSOARG00000007322","GO:0006955"
"101","ENSOARG00000007849","GO:0005515"
"102","ENSOARG00000007849","GO:0016021"
"103","ENSOARG00000007849","GO:0008022"
"104","ENSOARG00000007849","GO:0042803"
"105","ENSOARG00000007935","GO:0004620"
"106","ENSOARG00000007935","GO:0009395"
"107","ENSOARG00000007935","GO:0005515"
"108","ENSOARG00000007935","GO:0008152"
"109","ENSOARG00000007935","GO:0047498"
"110","ENSOARG00000007935","GO:0005544"
"111","ENSOARG00000007935","GO:0005737"
"112","ENSOARG00000007935","GO:0005509"
"113","ENSOARG00000007935","GO:0042127"
"114","ENSOARG00000007935","GO:0005829"
"115","ENSOARG00000007935","GO:0005794"
"116","ENSOARG00000007935","GO:0005783"
"117","ENSOARG00000007935","GO:0046456"
"118","ENSOARG00000007935","GO:0050482"
"119","ENSOARG00000007935","GO:0071236"
"120","ENSOARG00000008330","GO:0005515"
"121","ENSOARG00000008660","GO:0008484"
"122","ENSOARG00000008660","GO:0003824"
"123","ENSOARG00000008660","GO:0008152"
"124","ENSOARG00000008867","GO:2001268"
"125","ENSOARG00000008867","GO:0045742"
"126","ENSOARG00000008867","GO:0043388"
"127","ENSOARG00000008867","GO:0090200"
"128","ENSOARG00000008867","GO:0019899"
"129","ENSOARG00000008867","GO:0005925"
"130","ENSOARG00000008867","GO:0001934"
"131","ENSOARG00000008867","GO:0070062"
"132","ENSOARG00000008867","GO:0005515"
"133","ENSOARG00000008867","GO:0019904"
"134","ENSOARG00000008867","GO:0005102"
"135","ENSOARG00000008867","GO:0043066"
"136","ENSOARG00000008867","GO:2001243"
"137","ENSOARG00000008867","GO:0005887"
"138","ENSOARG00000008913","GO:0008270"
"139","ENSOARG00000008913","GO:0046872"
"140","ENSOARG00000008913","GO:1903920"
"141","ENSOARG00000008913","GO:0033365"
"142","ENSOARG00000008913","GO:1903919"
"143","ENSOARG00000008913","GO:0045663"
"144","ENSOARG00000008913","GO:0031433"
"145","ENSOARG00000008913","GO:0035995"
"146","ENSOARG00000008913","GO:0003300"
"147","ENSOARG00000008913","GO:0008307"
"148","ENSOARG00000008913","GO:0060048"
"149","ENSOARG00000008913","GO:0045662"
"150","ENSOARG00000008913","GO:0030018"
"151","ENSOARG00000008913","GO:0005515"
"152","ENSOARG00000008913","GO:0045944"
"153","ENSOARG00000008913","GO:0002026"
"154","ENSOARG00000008913","GO:0048738"
"155","ENSOARG00000008913","GO:0055003"
"156","ENSOARG00000008913","GO:0042805"
"157","ENSOARG00000008913","GO:0006874"
"158","ENSOARG00000009028","GO:0005515"
"159","ENSOARG00000009028","GO:0008270"
"160","ENSOARG00000009028","GO:0046872"
"161","ENSOARG00000009233","GO:0032426"
"162","ENSOARG00000009233","GO:0005515"
"163","ENSOARG00000009233","GO:0042802"
"164","ENSOARG00000009233","GO:0007605"
"165","ENSOARG00000009233","GO:0005615"
"166","ENSOARG00000009752","GO:0055117"
"167","ENSOARG00000009752","GO:0019229"
"168","ENSOARG00000009752","GO:0006937"
"169","ENSOARG00000009752","GO:0004937"
"170","ENSOARG00000009752","GO:0071875"
"171","ENSOARG00000009752","GO:0004935"
"172","ENSOARG00000009752","GO:0007186"
"173","ENSOARG00000009752","GO:0004930"
"174","ENSOARG00000009752","GO:0004871"
"175","ENSOARG00000009752","GO:0005886"
"176","ENSOARG00000009752","GO:0016021"
"177","ENSOARG00000009752","GO:0016020"
"178","ENSOARG00000009752","GO:0007165"
"179","ENSOARG00000009752","GO:0043410"
"180","ENSOARG00000009752","GO:0031965"
"181","ENSOARG00000009752","GO:0046982"
"182","ENSOARG00000009752","GO:0005634"
"183","ENSOARG00000009752","GO:0035265"
"184","ENSOARG00000009752","GO:0016049"
"185","ENSOARG00000009752","GO:0007512"
"186","ENSOARG00000009752","GO:0007200"
"187","ENSOARG00000009752","GO:0001994"
"188","ENSOARG00000009752","GO:0045987"
"189","ENSOARG00000009752","GO:0001996"
"190","ENSOARG00000009752","GO:0001997"
"191","ENSOARG00000009752","GO:0097195"
"192","ENSOARG00000009752","GO:0001985"
"193","ENSOARG00000009843","GO:0046983"
"194","ENSOARG00000009843","GO:1903026"
"195","ENSOARG00000009843","GO:0060411"
"196","ENSOARG00000009843","GO:0003219"
"197","ENSOARG00000009843","GO:0003218"
"198","ENSOARG00000009843","GO:0001829"
"199","ENSOARG00000009843","GO:0001824"
"200","ENSOARG00000009843","GO:0055010"
"201","ENSOARG00000009843","GO:0090575"
"202","ENSOARG00000009843","GO:0043433"
"203","ENSOARG00000009843","GO:0001078"
"204","ENSOARG00000009843","GO:0005515"
"205","ENSOARG00000009843","GO:0006366"
"206","ENSOARG00000009843","GO:0045892"
"207","ENSOARG00000009843","GO:0000122"
"208","ENSOARG00000009843","GO:0044212"
"209","ENSOARG00000009843","GO:0008134"
"210","ENSOARG00000009843","GO:0045944"
"211","ENSOARG00000009843","GO:0043425"
"212","ENSOARG00000009843","GO:0000978"
"213","ENSOARG00000009843","GO:0005737"
"214","ENSOARG00000009843","GO:0005634"
"215","ENSOARG00000009843","GO:0003677"
"216","ENSOARG00000009843","GO:0030154"
"217","ENSOARG00000009843","GO:0001701"
"218","ENSOARG00000009843","GO:0005654"
"219","ENSOARG00000009843","GO:0005730"
"220","ENSOARG00000009843","GO:0042802"
"221","ENSOARG00000009843","GO:0043565"
"222","ENSOARG00000009843","GO:0042803"
"223","ENSOARG00000009843","GO:0046982"
"224","ENSOARG00000009843","GO:0045893"
