"","ensembl_gene_id","go_id"
"1","ENSOARG00000000345","GO:0016020"
"2","ENSOARG00000000531","GO:0035023"
"3","ENSOARG00000000531","GO:0005089"
"4","ENSOARG00000000531","GO:0043547"
"5","ENSOARG00000000531","GO:0046872"
"6","ENSOARG00000000549","GO:0006470"
"7","ENSOARG00000000549","GO:0005515"
"8","ENSOARG00000000549","GO:0035335"
"9","ENSOARG00000000549","GO:0004725"
"10","ENSOARG00000000549","GO:0004721"
"11","ENSOARG00000000549","GO:0016791"
"12","ENSOARG00000000549","GO:0016311"
"13","ENSOARG00000000549","GO:0016787"
"14","ENSOARG00000000549","GO:0016020"
"15","ENSOARG00000000549","GO:0005001"
"16","ENSOARG00000000549","GO:0031290"
"17","ENSOARG00000000549","GO:0010596"
"18","ENSOARG00000000549","GO:0001937"
"19","ENSOARG00000000549","GO:0042493"
"20","ENSOARG00000000549","GO:0010842"
"21","ENSOARG00000000549","GO:0016525"
"22","ENSOARG00000000549","GO:0031175"
"23","ENSOARG00000000549","GO:0030027"
"24","ENSOARG00000000549","GO:0042802"
"25","ENSOARG00000000549","GO:0005913"
"26","ENSOARG00000000549","GO:0005911"
"27","ENSOARG00000000549","GO:0045296"
"28","ENSOARG00000000549","GO:0048471"
"29","ENSOARG00000000549","GO:0007156"
"30","ENSOARG00000000549","GO:0007165"
"31","ENSOARG00000000549","GO:0005737"
"32","ENSOARG00000000549","GO:0045909"
"33","ENSOARG00000000848","GO:0035023"
"34","ENSOARG00000000848","GO:0005089"
"35","ENSOARG00000000848","GO:0043547"
"36","ENSOARG00000000848","GO:0005515"
"37","ENSOARG00000000848","GO:0050790"
"38","ENSOARG00000000848","GO:0030425"
"39","ENSOARG00000000848","GO:0061299"
"40","ENSOARG00000000848","GO:2000297"
"41","ENSOARG00000000870",""
"42","ENSOARG00000001346","GO:0001533"
"43","ENSOARG00000001346","GO:0008544"
"44","ENSOARG00000001346","GO:0030414"
"45","ENSOARG00000001346","GO:0010466"
"46","ENSOARG00000001346","GO:0004869"
"47","ENSOARG00000001346","GO:0010951"
"48","ENSOARG00000001346","GO:0070062"
"49","ENSOARG00000001554","GO:0005515"
"50","ENSOARG00000001554","GO:0005509"
"51","ENSOARG00000001554","GO:1903561"
"52","ENSOARG00000001554","GO:0070062"
"53","ENSOARG00000001554","GO:0010811"
"54","ENSOARG00000001554","GO:0050840"
"55","ENSOARG00000001587","GO:0005515"
"56","ENSOARG00000001587","GO:0005576"
"57","ENSOARG00000001587","GO:0005509"
"58","ENSOARG00000001968","GO:0001527"
"59","ENSOARG00000001968","GO:0060216"
"60","ENSOARG00000001968","GO:0043206"
"61","ENSOARG00000001968","GO:0005578"
"62","ENSOARG00000001968","GO:0005515"
"63","ENSOARG00000001985","GO:0005515"
"64","ENSOARG00000001985","GO:1902430"
"65","ENSOARG00000001985","GO:1902003"
"66","ENSOARG00000001985","GO:0051259"
"67","ENSOARG00000001985","GO:0032281"
"68","ENSOARG00000001985","GO:0097060"
"69","ENSOARG00000001985","GO:0001540"
"70","ENSOARG00000001985","GO:2001223"
"71","ENSOARG00000001985","GO:0005615"
"72","ENSOARG00000002489","GO:0035023"
"73","ENSOARG00000002489","GO:0005089"
"74","ENSOARG00000002489","GO:0005085"
"75","ENSOARG00000002489","GO:0005515"
"76","ENSOARG00000002489","GO:0035556"
"77","ENSOARG00000002489","GO:0043547"
"78","ENSOARG00000002489","GO:0005622"
"79","ENSOARG00000002489","GO:0030676"
"80","ENSOARG00000002489","GO:0005096"
"81","ENSOARG00000002489","GO:0007186"
"82","ENSOARG00000002489","GO:0005886"
"83","ENSOARG00000002489","GO:0008344"
"84","ENSOARG00000002489","GO:0014065"
"85","ENSOARG00000002489","GO:0048813"
"86","ENSOARG00000002562","GO:0005515"
"87","ENSOARG00000002562","GO:0004896"
"88","ENSOARG00000002562","GO:0016020"
"89","ENSOARG00000002562","GO:0004915"
"90","ENSOARG00000002562","GO:0004897"
"91","ENSOARG00000002562","GO:0070120"
"92","ENSOARG00000002562","GO:0070119"
"93","ENSOARG00000002562","GO:0070110"
"94","ENSOARG00000002562","GO:0019981"
"95","ENSOARG00000002562","GO:0010536"
"96","ENSOARG00000002562","GO:0070102"
"97","ENSOARG00000002562","GO:0032966"
"98","ENSOARG00000002562","GO:0005896"
"99","ENSOARG00000002562","GO:0042517"
"100","ENSOARG00000002562","GO:0048661"
"101","ENSOARG00000002562","GO:0032755"
"102","ENSOARG00000002562","GO:0050731"
"103","ENSOARG00000002562","GO:0043410"
"104","ENSOARG00000002562","GO:0032722"
"105","ENSOARG00000002562","GO:0005138"
"106","ENSOARG00000002562","GO:0016324"
"107","ENSOARG00000002562","GO:0019899"
"108","ENSOARG00000002562","GO:0034097"
"109","ENSOARG00000002562","GO:0008284"
"110","ENSOARG00000002562","GO:0019221"
"111","ENSOARG00000002562","GO:0042803"
"112","ENSOARG00000002562","GO:0005615"
"113","ENSOARG00000002562","GO:0009986"
"114","ENSOARG00000002778","GO:0043565"
"115","ENSOARG00000002778","GO:0006355"
"116","ENSOARG00000002778","GO:0006351"
"117","ENSOARG00000002778","GO:0005634"
"118","ENSOARG00000002778","GO:0003700"
"119","ENSOARG00000002778","GO:0003677"
"120","ENSOARG00000002865","GO:0005515"
"121","ENSOARG00000002865","GO:0030502"
"122","ENSOARG00000002866","GO:0007165"
"123","ENSOARG00000002866","GO:0005515"
"124","ENSOARG00000002973","GO:0016286"
"125","ENSOARG00000002973","GO:0005516"
"126","ENSOARG00000002973","GO:0071805"
"127","ENSOARG00000002973","GO:0015269"
"128","ENSOARG00000002973","GO:0006813"
"129","ENSOARG00000002973","GO:0016021"
"130","ENSOARG00000002973","GO:0005886"
"131","ENSOARG00000002973","GO:0005737"
"132","ENSOARG00000003121","GO:0045600"
"133","ENSOARG00000003121","GO:0005515"
"134","ENSOARG00000003437","GO:0007275"
"135","ENSOARG00000003437","GO:0043565"
"136","ENSOARG00000003437","GO:0006355"
"137","ENSOARG00000003437","GO:0005634"
"138","ENSOARG00000003437","GO:0003700"
"139","ENSOARG00000003437","GO:0003677"
"140","ENSOARG00000003437","GO:0035993"
"141","ENSOARG00000003437","GO:0043010"
"142","ENSOARG00000003437","GO:0042476"
"143","ENSOARG00000003437","GO:0001105"
"144","ENSOARG00000003437","GO:0051219"
"145","ENSOARG00000003437","GO:0061072"
"146","ENSOARG00000003437","GO:0001102"
"147","ENSOARG00000003437","GO:0001085"
"148","ENSOARG00000003437","GO:0001191"
"149","ENSOARG00000003437","GO:0000976"
"150","ENSOARG00000003437","GO:0042802"
"151","ENSOARG00000003437","GO:0001078"
"152","ENSOARG00000003437","GO:0005515"
"153","ENSOARG00000003437","GO:0005654"
"154","ENSOARG00000003437","GO:0000122"
"155","ENSOARG00000003437","GO:0008134"
"156","ENSOARG00000003437","GO:0045944"
"157","ENSOARG00000003437","GO:0042803"
"158","ENSOARG00000003437","GO:0005667"
"159","ENSOARG00000003437","GO:0006357"
"160","ENSOARG00000003437","GO:0003253"
"161","ENSOARG00000003437","GO:0061325"
"162","ENSOARG00000003437","GO:0060578"
"163","ENSOARG00000003437","GO:0060577"
"164","ENSOARG00000003437","GO:0060460"
"165","ENSOARG00000003437","GO:0035886"
"166","ENSOARG00000003437","GO:0021855"
"167","ENSOARG00000003437","GO:0021763"
"168","ENSOARG00000003437","GO:0003350"
"169","ENSOARG00000003437","GO:0003171"
"170","ENSOARG00000003437","GO:0002074"
"171","ENSOARG00000003437","GO:2000288"
"172","ENSOARG00000003437","GO:0061031"
"173","ENSOARG00000003437","GO:0007520"
"174","ENSOARG00000003437","GO:0055015"
"175","ENSOARG00000003437","GO:0055123"
"176","ENSOARG00000003437","GO:0001569"
"177","ENSOARG00000003437","GO:0035116"
"178","ENSOARG00000003437","GO:0060412"
"179","ENSOARG00000003437","GO:0055007"
"180","ENSOARG00000003437","GO:0048738"
"181","ENSOARG00000003437","GO:0048557"
"182","ENSOARG00000003437","GO:0021983"
"183","ENSOARG00000003437","GO:0055009"
"184","ENSOARG00000003437","GO:0043388"
"185","ENSOARG00000003437","GO:0031076"
"186","ENSOARG00000003437","GO:0031490"
"187","ENSOARG00000003437","GO:0030324"
"188","ENSOARG00000003437","GO:0007519"
"189","ENSOARG00000003437","GO:0007507"
"190","ENSOARG00000003437","GO:0048536"
"191","ENSOARG00000003437","GO:0070986"
"192","ENSOARG00000003437","GO:0016055"
"193","ENSOARG00000003437","GO:0009887"
"194","ENSOARG00000003437","GO:0007368"
"195","ENSOARG00000003437","GO:0045893"
"196","ENSOARG00000003437","GO:0003682"
"197","ENSOARG00000003437","GO:0001764"
"198","ENSOARG00000003437","GO:0009653"
"199","ENSOARG00000003437","GO:0030334"
"200","ENSOARG00000003437","GO:0001701"
"201","ENSOARG00000003437","GO:0001570"
"202","ENSOARG00000003437","GO:0042127"
"203","ENSOARG00000003437","GO:0000981"
"204","ENSOARG00000003437","GO:0005737"
"205","ENSOARG00000003601","GO:0016491"
"206","ENSOARG00000003601","GO:0003955"
"207","ENSOARG00000003601","GO:0006979"
"208","ENSOARG00000003601","GO:0043086"
"209","ENSOARG00000003601","GO:0070062"
"210","ENSOARG00000003601","GO:0042802"
"211","ENSOARG00000003601","GO:0005515"
"212","ENSOARG00000003601","GO:0044822"
"213","ENSOARG00000003601","GO:0005737"
"214","ENSOARG00000003624","GO:0017048"
"215","ENSOARG00000003624","GO:0005089"
"216","ENSOARG00000003624","GO:0005085"
"217","ENSOARG00000003624","GO:0043547"
"218","ENSOARG00000003624","GO:0007264"
"219","ENSOARG00000003624","GO:0005622"
"220","ENSOARG00000003624","GO:0005515"
"221","ENSOARG00000003624","GO:0016020"
"222","ENSOARG00000003895",""
"223","ENSOARG00000004062","GO:0006913"
"224","ENSOARG00000004062","GO:0006886"
"225","ENSOARG00000004062","GO:0015031"
"226","ENSOARG00000004062","GO:0007264"
"227","ENSOARG00000004062","GO:0005622"
"228","ENSOARG00000004062","GO:0016020"
"229","ENSOARG00000004062","GO:0005525"
"230","ENSOARG00000004062","GO:0003924"
"231","ENSOARG00000004062","GO:0000166"
"232","ENSOARG00000004062","GO:0007165"
"233","ENSOARG00000004062","GO:1903232"
"234","ENSOARG00000004062","GO:0036461"
"235","ENSOARG00000004062","GO:0035651"
"236","ENSOARG00000004062","GO:0035650"
"237","ENSOARG00000004062","GO:0090383"
"238","ENSOARG00000004062","GO:0045335"
"239","ENSOARG00000004062","GO:0035646"
"240","ENSOARG00000004062","GO:0030742"
"241","ENSOARG00000004062","GO:0042470"
"242","ENSOARG00000004062","GO:0072657"
"243","ENSOARG00000004062","GO:0005515"
"244","ENSOARG00000004062","GO:0005769"
"245","ENSOARG00000004930","GO:0042060"
"246","ENSOARG00000004930","GO:0031012"
"247","ENSOARG00000004930","GO:0008237"
"248","ENSOARG00000004930","GO:0004222"
"249","ENSOARG00000004930","GO:0008270"
"250","ENSOARG00000004930","GO:0016787"
"251","ENSOARG00000004930","GO:0008233"
"252","ENSOARG00000004930","GO:0046872"
"253","ENSOARG00000004930","GO:0006508"
"254","ENSOARG00000004930","GO:0005509"
"255","ENSOARG00000004930","GO:0035313"
"256","ENSOARG00000004930","GO:0060054"
"257","ENSOARG00000005014","GO:0030036"
"258","ENSOARG00000005014","GO:0003779"
"259","ENSOARG00000005014","GO:0008270"
"260","ENSOARG00000005014","GO:0046872"
"261","ENSOARG00000005014","GO:0006351"
"262","ENSOARG00000005014","GO:1903955"
"263","ENSOARG00000005014","GO:0001725"
"264","ENSOARG00000005014","GO:0030032"
"265","ENSOARG00000005014","GO:0030027"
"266","ENSOARG00000005014","GO:0005515"
"267","ENSOARG00000005014","GO:0042384"
"268","ENSOARG00000005014","GO:0045944"
"269","ENSOARG00000005078","GO:0005515"
"270","ENSOARG00000005078","GO:0008270"
"271","ENSOARG00000005078","GO:0046872"
"272","ENSOARG00000005315","GO:0031012"
"273","ENSOARG00000005315","GO:0008237"
"274","ENSOARG00000005315","GO:0004222"
"275","ENSOARG00000005315","GO:0008270"
"276","ENSOARG00000005315","GO:0016787"
"277","ENSOARG00000005315","GO:0008233"
"278","ENSOARG00000005315","GO:0046872"
"279","ENSOARG00000005315","GO:0006508"
"280","ENSOARG00000005315","GO:0005509"
"281","ENSOARG00000005315","GO:0032461"
"282","ENSOARG00000005315","GO:0004175"
"283","ENSOARG00000005471","GO:0003723"
"284","ENSOARG00000005471","GO:0003676"
"285","ENSOARG00000005471","GO:0044822"
"286","ENSOARG00000005526","GO:0005509"
"287","ENSOARG00000005699",""
"288","ENSOARG00000005709","GO:0070062"
"289","ENSOARG00000005722","GO:0048625"
"290","ENSOARG00000005722","GO:0043619"
"291","ENSOARG00000005722","GO:0001892"
"292","ENSOARG00000005722","GO:0001974"
"293","ENSOARG00000005722","GO:0007005"
"294","ENSOARG00000005722","GO:0043129"
"295","ENSOARG00000005722","GO:0030218"
"296","ENSOARG00000005722","GO:0048469"
"297","ENSOARG00000005722","GO:0002027"
