"","ensembl_gene_id","go_id"
"1","ENSOARG00000000123","GO:0050902"
"2","ENSOARG00000000123","GO:0019221"
"3","ENSOARG00000000123","GO:0060326"
"4","ENSOARG00000000123","GO:0008009"
"5","ENSOARG00000000123","GO:0016021"
"6","ENSOARG00000000123","GO:0006955"
"7","ENSOARG00000000123","GO:0005576"
"8","ENSOARG00000000123","GO:0051041"
"9","ENSOARG00000000123","GO:0050729"
"10","ENSOARG00000000123","GO:0009986"
"11","ENSOARG00000000123","GO:0006935"
"12","ENSOARG00000000123","GO:0005515"
"13","ENSOARG00000000123","GO:0032914"
"14","ENSOARG00000000123","GO:0048246"
"15","ENSOARG00000000123","GO:0060055"
"16","ENSOARG00000000123","GO:0048247"
"17","ENSOARG00000000123","GO:0030593"
"18","ENSOARG00000000123","GO:0045766"
"19","ENSOARG00000000123","GO:2001240"
"20","ENSOARG00000000123","GO:0042060"
"21","ENSOARG00000000304","GO:0001570"
"22","ENSOARG00000000304","GO:0015026"
"23","ENSOARG00000000304","GO:0070098"
"24","ENSOARG00000000304","GO:0004950"
"25","ENSOARG00000000304","GO:0001525"
"26","ENSOARG00000000304","GO:0006935"
"27","ENSOARG00000000304","GO:0007186"
"28","ENSOARG00000000304","GO:0004930"
"29","ENSOARG00000000304","GO:0004871"
"30","ENSOARG00000000304","GO:0016021"
"31","ENSOARG00000000304","GO:0016020"
"32","ENSOARG00000000304","GO:0007165"
"33","ENSOARG00000000304","GO:0019958"
"34","ENSOARG00000000304","GO:0031623"
"35","ENSOARG00000000304","GO:1902230"
"36","ENSOARG00000000304","GO:0002230"
"37","ENSOARG00000000304","GO:0070374"
"38","ENSOARG00000000304","GO:0016494"
"39","ENSOARG00000000304","GO:0009986"
"40","ENSOARG00000000304","GO:0005515"
"41","ENSOARG00000000304","GO:0005905"
"42","ENSOARG00000000304","GO:0005768"
"43","ENSOARG00000000304","GO:0005044"
"44","ENSOARG00000000327","GO:0045995"
"45","ENSOARG00000000327","GO:0030155"
"46","ENSOARG00000000327","GO:0005515"
"47","ENSOARG00000000327","GO:0030334"
"48","ENSOARG00000000327","GO:0007155"
"49","ENSOARG00000000327","GO:0005102"
"50","ENSOARG00000000327","GO:0005608"
"51","ENSOARG00000000327","GO:0005606"
"52","ENSOARG00000000327","GO:0005604"
"53","ENSOARG00000000327","GO:0005615"
"54","ENSOARG00000000327","GO:0061304"
"55","ENSOARG00000000327","GO:0045198"
"56","ENSOARG00000000327","GO:0043208"
