,baseMean,baseVar,allZero,dispGeneEst,dispFit,dispersion,dispIter,dispOutlier,dispMAP,Intercept,migroupF1.C,migroupF1.F,migroupFS.C,migroupFS.F,migroupTX.C,migroupTX.F,SE_Intercept,SE_migroupF1.C,SE_migroupF1.F,SE_migroupFS.C,SE_migroupFS.F,SE_migroupTX.C,SE_migroupTX.F,MLE_Intercept,MLE_migroup_F1.F_vs_F1.C,MLE_migroup_FS.C_vs_F1.C,MLE_migroup_FS.F_vs_F1.C,MLE_migroup_TX.C_vs_F1.C,MLE_migroup_TX.F_vs_F1.C,WaldStatistic_Intercept,WaldStatistic_migroupF1.C,WaldStatistic_migroupF1.F,WaldStatistic_migroupFS.C,WaldStatistic_migroupFS.F,WaldStatistic_migroupTX.C,WaldStatistic_migroupTX.F,WaldPvalue_Intercept,WaldPvalue_migroupF1.C,WaldPvalue_migroupF1.F,WaldPvalue_migroupFS.C,WaldPvalue_migroupFS.F,WaldPvalue_migroupTX.C,WaldPvalue_migroupTX.F,betaConv,betaIter,deviance,maxCooks,replace
oar-let-7a,290602.721582158,8908204121.13962,FALSE,0.1028179683,0.4221328969,0.0838263106,11,FALSE,0.0838263106,18.1263215505,-0.2020287394,-0.0307275036,0.1255419667,0.0448141562,-0.0689333574,0.1313436676,0.0708434736,0.1721699146,0.1406033979,0.1586003764,0.1342691102,0.1586011908,0.1342697726,17.9085300794,0.1857008906,0.3511052666,0.2643431954,0.1445727683,0.354221942,255.8643814931,-1.1734264945,-0.2185402635,0.7915615938,0.3337637087,-0.4346332904,0.9782072688,0,0.2406248177,0.8270081906,0.4286163484,0.7385578708,0.6638286269,0.3279718221,TRUE,4,934.5823077895,0.065928234,FALSE
oar-let-7b,117354.291432204,4163218167.11753,FALSE,0.2390677301,0.4222978491,0.2227369681,8,FALSE,0.2227369681,16.7919436747,-0.0373382955,-0.0427360845,-0.1265233303,0.04917287,-0.2071665319,0.3646008122,0.1149313965,0.2521951824,0.2133668247,0.2360735091,0.2050502517,0.2360743629,0.2050506251,16.7468846135,-0.0027207601,-0.1024851534,0.0992921034,-0.1966888773,0.4467651202,146.1040601555,-0.1480531672,-0.2002939518,-0.5359488695,0.2398088741,-0.8775477751,1.7781014421,0,0.8823008092,0.8412506925,0.5919938883,0.8104784272,0.3801891814,0.0753871957,TRUE,4,901.2877797947,0.0321505445,FALSE
oar-let-7c,151174.519942354,4974259241.17248,FALSE,0.2016844358,0.4222359497,0.2187803222,9,FALSE,0.2187803222,17.1838002543,-0.0634466051,-0.1164819037,-0.0582354368,0.0432902627,-0.0183743596,0.2132577027,0.1139191088,0.2506679328,0.2118785308,0.2345462309,0.2035856071,0.2345466672,0.2035861164,17.1074456061,-0.0536699597,0.0086537376,0.1240215854,0.0550004382,0.3110460846,150.842123284,-0.2531101779,-0.5497579357,-0.2482898,0.2126391119,-0.0783398878,1.0475061193,0,0.8001830741,0.5824854135,0.8039101904,0.8316084622,0.937557689,0.2948662114,TRUE,4,919.9445676172,0.0269262141,FALSE
oar-let-7d,9230.8929044779,2396052.21033594,FALSE,0.0279983325,0.4255387396,0.0319539645,12,FALSE,0.0319539645,13.1552471661,-0.2049430547,0.1193282548,0.0171205238,0.0242088674,0.0402376273,0.0040551769,0.0439137255,0.1112123123,0.0894483075,0.1016727222,0.085184686,0.1017003401,0.0852318609,12.944199757,0.3323985187,0.2285740774,0.235615427,0.2522400884,0.2151628538,299.5702825006,-1.8428090413,1.3340470944,0.1683885647,0.2841927171,0.3956488966,0.0475781811,0,0.0653568963,0.1821884228,0.8662776037,0.7762626964,0.6923640601,0.9620524213,TRUE,4,643.7477754972,0.0659249257,FALSE
oar-let-7f,104863.582225894,850302779.905962,FALSE,0.0535311796,0.4223308063,0.0552679557,8,FALSE,0.0552679557,16.658891283,-0.2051984327,-0.2113723504,0.222309268,0.2935075724,0.1099555318,-0.209192224,0.057593576,0.1431315784,0.1159492603,0.1313594004,0.110565393,0.1313616714,0.1105711259,16.4431544841,-0.0018291074,0.4471164515,0.5167331935,0.3301859666,0.0011824483,289.2491216792,-1.4336349462,-1.822972823,1.6923742599,2.654606152,0.8370442508,-1.8919245172,0,0.1516764655,0.0683075071,0.0905746369,0.0079401053,0.4025676951,0.0585010386,TRUE,4,843.0973863998,0.0927656506,FALSE
oar-let-7g,22954.741944923,41433528.0338881,FALSE,0.0694022968,0.4234357014,0.0647052739,9,FALSE,0.0647052739,14.4612710494,-0.2727899561,0.0993727927,0.2058099703,-0.0680283589,-0.0902153108,0.1258589926,0.0623107192,0.1537129234,0.1248489641,0.1412255549,0.1191106075,0.1412398023,0.1191183732,14.1720342016,0.3920090148,0.5048787694,0.2191684673,0.1946893932,0.4188637477,232.0831989213,-1.7746715764,0.7959440705,1.4573139429,-0.5711360254,-0.63873858,1.0565875713,0,0.0759521312,0.4260645444,0.1450297398,0.56790744,0.5229930103,0.2906998552,TRUE,4,737.0834101246,0.1638904548,FALSE
oar-let-7i,70505.4039999684,120576809.199317,FALSE,0.0242401139,0.4224816998,0.0260547488,12,FALSE,0.0260547488,16.1070238488,-0.003764509,-0.0276855514,-0.0618971378,-0.07998838,0.1164483997,0.0568962333,0.0396005686,0.1007428177,0.0809131731,0.0920900694,0.0770411045,0.0920921887,0.077046091,16.1031682714,-0.0242117996,-0.0592367856,-0.0770981841,0.1225500454,0.0614382846,406.7371865166,-0.0373675179,-0.3421637087,-0.6721369436,-1.0382558829,1.2644764061,0.7384700852,0,0.9701919715,0.7322276949,0.5014965194,0.2991509419,0.206059084,0.4602288392,TRUE,3,786.4247994614,0.1330129971,FALSE
oar-miR-103,5990.2078029855,1498545.65958081,FALSE,0.0349712579,0.4274417387,0.0364185737,12,FALSE,0.0364185737,12.5394124868,-0.0215671922,-0.0308870089,-0.0912542472,-0.1554670605,0.0958308185,0.2033517396,0.0469001105,0.1183278604,0.0953345142,0.1082606883,0.0908077878,0.1082807237,0.0908285028,12.5171137187,-0.0091865249,-0.0714281646,-0.135803926,0.1207233047,0.2290945764,267.3642417177,-0.1822663923,-0.3239855907,-0.8429121287,-1.7120454554,0.8850219613,2.2388538105,0,0.8553736719,0.7459489433,0.3992775897,0.086888292,0.3761447868,0.0251654297,TRUE,3,616.4363270326,0.0582027112,FALSE
oar-miR-106b,142.4879832769,2257.8191078127,FALSE,0.0918305266,0.6499026885,0.1007184317,11,FALSE,0.1007184317,7.1472643344,-0.0584488781,0.0613649591,0.4317601568,0.0314247923,-0.3383963927,-0.1277006194,0.0805135482,0.192527902,0.1579400168,0.1753262072,0.1504725584,0.1781527951,0.152223808,7.0829225049,0.1292292076,0.5292161895,0.0973228562,-0.3017571138,-0.0698410323,88.7709521547,-0.3035865323,0.38853332,2.4626104889,0.2088406857,-1.8994728237,-0.838900439,0,0.7614429133,0.6976214012,0.0137929668,0.8345726089,0.0575023365,0.4015251814,TRUE,5,379.3074754289,0.0495833733,FALSE
oar-miR-107,1798.753623824,204051.366570207,FALSE,0.0624438959,0.4400727613,0.0638342473,8,FALSE,0.0638342473,10.8077466902,-0.0684432836,-0.0090319537,-0.0861286108,0.0038815641,0.1362509033,0.0234774564,0.0621600553,0.1534438383,0.1246063679,0.1408188551,0.1188046919,0.1408554565,0.1189528893,10.7352076826,0.0631991114,-0.0176967994,0.0765362,0.2152710773,0.0967181706,173.8696440855,-0.4460477813,-0.0724838852,-0.6116269776,0.0326718085,0.9673100828,0.1973676852,0,0.6555627316,0.9422168295,0.5407845849,0.9739363054,0.3333890447,0.8435398157,TRUE,4,548.6810869585,0.0381246999,FALSE
