"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"oar-let-7f",104863.582225894,0.504879922782332,0.170855179817238,2.95501677691245,0.00312652048687794,0.0645200136837539
"oar-miR-127",211829.484479113,-0.470477477157663,0.166440502715118,-2.82670064967864,0.00470302697304198,0.0711724748587019
"oar-miR-377-5p",69.0894154132387,-0.61877683778433,0.216221057865803,-2.86177879200079,0.00421270817904476,0.06830605404594
"oar-miR-379-5p",176.914623710331,-1.01275702004753,0.349365137785971,-2.89884968622133,0.00374534402519173,0.0653994687475788
"oar-miR-382-5p",232.206724297436,-0.693646647728473,0.23899170608436,-2.90238794932753,0.00370329614433725,0.0653994687475788
"oar-miR-3958-3p",2227.24282801089,-0.867416111640282,0.290001487271833,-2.99107470034183,0.0027799747946489,0.0631054278385301
"oar-miR-432",1677.00254564856,-0.880474529191482,0.278365988623052,-3.16301044372118,0.00156146729878455,0.0631054278385301
"oar-miR-433-3p",194.874591091848,-0.777892416432579,0.223651490060741,-3.47814546740249,0.000504895844639941,0.0382037855777555
"oar-miR-493-3p",1294.74138664205,-0.860461259154214,0.236947499825182,-3.63144266045878,0.000281841282323707,0.0382037855777555
"oar-miR-493-5p",1203.30012948326,-0.80538194239753,0.252366078115478,-3.19132408131731,0.00141622326103859,0.0631054278385301
"novel_15_257",80.5517736169344,-1.1166512584127,0.368617912944712,-3.02929190144969,0.00245127713229902,0.0631054278385301
"novel_15_270",113.363705194395,0.616368388982223,0.201881188921321,3.05312442568604,0.00226472013658077,0.0631054278385301
"novel_2_417",10085.5281725197,0.57831754415656,0.184776782775323,3.12981715273048,0.0017491514174352,0.0631054278385301
"novel_26_610",934.926343387766,1.8150922965247,0.511775991333945,3.54665386274502,0.000390156839220776,0.0382037855777555
"novel_7_797",13145.152128311,0.484235504975548,0.160768135826873,3.01201169301987,0.00259522600560277,0.0631054278385301
"novel_X_893",3041.89297460034,0.461233790118674,0.168177165332801,2.74254705866846,0.00609647137384263,0.0864936876163923
