"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"oar-let-7f",104863.582225894,0.502699796419718,0.165370049015981,3.03984790118276,0.0023669765149851,0.0437890655272244
"oar-miR-103",5990.2078029855,-0.358818800089633,0.135729591988742,-2.64362984395765,0.00820222995756765,0.0843006967861119
"oar-miR-127",211829.484479113,-0.454486209578404,0.161080632119296,-2.82148265498371,0.00478022224256154,0.0631672224909918
"oar-miR-25",31431.4838872576,0.505791565319173,0.176098806243687,2.8722032596817,0.0040762069594727,0.0628415239585375
"oar-miR-379-5p",176.914623710331,-0.860400102568713,0.340856370713587,-2.52423066280808,0.0115951819241298,0.0973482437142067
"oar-miR-382-5p",232.206724297436,-0.632994829028628,0.232263589093268,-2.72532957705412,0.00642373294788445,0.0792260396905748
"oar-miR-432",1677.00254564856,-0.906421863170213,0.270366480520001,-3.35256745372753,0.000800657284623631,0.0403521619618757
"oar-miR-433-3p",194.874591091848,-0.712841401686166,0.217417688553951,-3.2786725239666,0.00104296589885322,0.0403521619618757
"oar-miR-493-5p",1203.30012948326,-0.737157738414409,0.244927694055335,-3.00969533583192,0.00261509860882766,0.0439812038757379
"novel_1_45",1640.87194795794,-0.741306603819886,0.27620378810278,-2.68391179176744,0.00727663019257596,0.0804527801583963
"novel_10_67",463.596063518843,0.722674558846349,0.220323293704198,3.28006424875165,0.00103783449110036,0.0403521619618757
"novel_11_93",1049.33843559944,-0.617258439718407,0.235401548171493,-2.6221511477432,0.00873766701228817,0.0850772840670164
"novel_15_269",208.804545014431,-1.29091937740692,0.40314733744857,-3.20210319526569,0.00136428114828452,0.0403521619618757
"novel_15_279",14283.7371155079,0.674902662646296,0.207035836666859,3.2598349808023,0.00111477052958258,0.0403521619618757
"novel_2_417",10085.5281725197,0.550331193559298,0.178914989642276,3.07593676002014,0.00209842346690726,0.0431342601530938
"novel_24_560",2232.43627821234,-0.780312622997588,0.291313077673586,-2.67860485093609,0.0073929581767175,0.0804527801583963
"novel_3_625",19656.7377877129,0.411638701644988,0.164056082091826,2.50913404974882,0.0121027546239284,0.0973482437142067
"novel_3_689",159.712819710308,-0.517238013941071,0.200835402213398,-2.5754324598184,0.0100114823840849,0.088855025805842
"novel_7_797",13145.152128311,0.488623323332788,0.155585991173872,3.14053546624733,0.00168639287106335,0.0403521619618757
"novel_9_845",49288.2991345983,0.25658882849724,0.0902064020263677,2.8444636160329,0.00444862662097783,0.0631672224909918
"novel_X_868",13634.8981470931,-0.897701957404566,0.268003085989417,-3.34959559920894,0.000809296227018359,0.0403521619618757
"novel_X_881_1",3144.92983747869,0.36927018074997,0.117958015390833,3.13052215677297,0.00174495835510814,0.0403521619618757
"novel_X_930",349.428924528726,0.541054229560361,0.210293045080533,2.5728584098117,0.010086246172555,0.088855025805842
