"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"oar-miR-143",636005.921353169,0.701524959491645,0.236127167564532,2.97096249756998,0.00296868030061442,0.0610335148753083
"oar-miR-23b",10685.4534657129,0.749171887066888,0.256250987899999,2.92358633699882,0.00346024250584721,0.0610335148753083
"novel_11_93",1049.33843559944,0.908509456152046,0.242969790497139,3.73918689353581,0.000184616437409734,0.0160677608111953
"novel_14_221",29240.8885100384,0.787613820011531,0.28470832743378,2.76638841972306,0.00566809782502756,0.0799201793328885
"novel_24_560",2232.43627821234,1.07365075055714,0.299792202160636,3.58131646793754,0.000341867251302027,0.0160677608111953
"novel_24_561",1012.57760412292,0.883584032294318,0.241136328457185,3.66425099837747,0.000248063433421654,0.0160677608111953
"novel_26_610",934.926343387766,1.62366696861721,0.511792647354541,3.17250936880385,0.00151127683101221,0.0426180066345442
"novel_5_762",31688.5931994419,0.770055843286821,0.270900835744954,2.84257463130091,0.00447507524096063,0.0701095121083832
"novel_X_868",13634.8981470931,0.80687243003656,0.276009725238737,2.92334782529365,0.0034628944610104,0.0610335148753083
"novel_X_899",423.383087306728,-1.06656393756866,0.324230227257247,-3.28952653980173,0.0010035609179972,0.0353755223594012
