mirna,TC_3B,TF_4H,TF_4P,FF_5B,F1F_7G,F1F_7M,TF_9K,TC_11E,TF_13B,F1C_19A,FF_21J,TF_22A,FF_23C,F1F_24A,TC_26B,TC_27A,F1C_29A,F1F_31A,F1F_33A,FF_35C,F1C_37,FF_39A,FF_39E,FF_39J,FC_42B,TF_43A,TC_44A,FC_45A,FC_46F,TF_379,FC_41B,TF_787,FF_801,FC_974,F1C_4208,F1F_4563,F1F_4590
oar-let-7a,149889,122893,224930,215535,417653,380654,170293,270856,902909,506452,246133,129992,505379,145317,394414,237919,208903,194460,144327,238248,176325,300330,604563,328413,209064,213833,417422,459014,353493,334135,572217,349557,246065,540908,150379,280549,306643
oar-let-7b,55586,98377,119916,97320,150200,140709,112339,65926,209675,138595,113599,47020,102876,84062,145260,104527,112861,85871,58681,109354,70850,176441,134149,149259,73482,47273,141569,142407,172161,124026,147390,154800,67854,134366,86546,80573,98859
oar-let-7c,60200,95302,140206,116917,209846,212815,125397,97336,345495,273043,151816,66237,155657,99264,227688,149828,123393,95137,69076,153177,93349,173927,207506,204388,102687,24146,282832,175416,181408,174876,249631,212509,117937,257676,97257,112499,74173
oar-let-7d,7246,2516,3763,6985,13139,12281,5229,10249,31000,13106,8228,6197,17757,4692,13373,7542,7295,6495,6249,8106,5439,7834,18393,9130,7944,10575,10289,12289,11333,10783,16584,11788,8695,13249,5501,8434,17260
oar-let-7f,69690,27733,28244,90270,126478,108107,43462,167892,355154,229905,93297,61154,384374,46193,103250,99542,70528,44173,56195,90154,61232,78221,293906,113282,87535,91597,137155,123909,108257,140955,295397,117263,129908,252165,47334,107444,121396
oar-let-7g,12540,7734,14302,16404,33897,35290,13750,20948,78636,47257,17917,16159,40920,9256,28777,19104,16874,14519,12714,17538,10743,20233,48165,22073,16276,23584,31586,43440,24373,30119,49705,21686,16225,44914,10154,26993,36518
oar-let-7i,60294,36204,32258,52398,84122,76136,46602,80023,196530,123023,66822,45344,138310,46775,85248,68933,57518,36200,44377,48944,56295,53945,109909,64787,62770,67108,99083,79131,87850,86791,120614,82596,72113,98280,45237,61446,128291
oar-miR-103,5289,3203,2282,3731,6278,6327,3770,7727,16119,11692,4280,7418,14029,3385,8214,4995,4298,2693,4467,4625,4004,3587,10458,4679,4881,8079,6286,6064,7300,7852,10271,6540,5765,9076,4469,4551,13895
oar-miR-106a,0,1,2,1,3,4,3,6,16,5,0,4,5,1,4,1,5,4,2,2,1,2,10,5,4,3,3,9,4,3,8,4,4,7,2,2,1
oar-miR-106b,47,38,18,97,248,245,47,139,613,381,85,149,377,68,157,101,124,95,91,83,52,124,413,136,147,96,149,234,182,281,382,140,134,414,91,124,132
oar-miR-107,1783,833,426,1100,1848,1800,958,2450,5059,3262,1688,1713,4313,1087,1992,1763,1220,676,1282,1473,1264,1022,3023,1906,1638,2490,1821,1485,2198,2363,3193,1890,2327,2875,1260,1277,5227
oar-miR-10a,27156,40870,36940,27063,193439,101724,60166,57799,145531,162382,42389,31466,44810,64368,93932,61302,57653,28881,46928,107724,65531,72382,70648,130855,81724,9055,230568,60697,45280,123026,153154,65738,98281,154745,67238,129778,78670
oar-miR-10b,456228,158783,182022,1161364,1357807,1402337,334760,1204693,4718662,4317974,1003868,1152032,4345419,431095,1082589,866978,1217420,394637,517085,983154,423832,842505,2832932,1285693,1755510,859573,990855,2044270,1033474,2290987,3331921,1141941,1318084,3974053,512665,1426894,989596
oar-miR-1185-3p,6,0,0,0,1,3,2,2,3,4,2,2,3,1,3,2,0,1,1,1,0,0,1,1,1,7,2,1,0,0,5,0,1,10,1,2,9
oar-miR-1185-5p,5,0,0,0,8,1,0,3,11,15,0,6,3,1,8,1,2,0,5,2,0,0,10,2,0,5,2,2,6,3,5,4,3,3,0,2,18
oar-miR-1193-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
oar-miR-1193-5p,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
oar-miR-1197-3p,8,0,0,1,3,4,4,2,7,4,1,5,12,4,8,3,1,2,5,0,2,0,4,0,3,9,4,0,0,5,8,1,2,8,0,2,15
oar-miR-1197-5p,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,4
oar-miR-125b,75598,55699,60404,239322,257453,278436,127313,116577,635983,442804,223341,118205,226653,128084,229274,150061,226122,139390,99195,172678,82251,257438,345269,274719,243959,20599,317798,327755,275144,274755,327157,287292,172538,317090,99919,175059,76927
oar-miR-127,171797,151797,74368,133288,279051,299292,207976,194028,595614,505222,203062,132392,286888,173224,255778,158614,181066,92344,193959,168369,134119,119101,246479,195536,148041,184308,435588,183813,201387,250715,277879,341209,186182,196641,142579,166435,547487
oar-miR-133,790,4470,3019,2685,3077,3442,5771,4620,11673,3459,4157,1165,3604,2258,4771,3926,2973,2245,1256,3442,2281,3667,3799,3435,2887,361,6172,5259,9737,4814,5199,7889,2754,3327,4172,1981,1326
oar-miR-134-3p,9,7,1,11,15,13,18,13,26,40,8,2,35,12,18,3,11,6,14,12,12,6,26,8,8,13,23,13,9,7,19,9,16,20,6,9,28
oar-miR-134-5p,63,6,11,47,111,119,39,40,147,262,71,67,121,42,102,36,61,31,64,29,45,34,120,81,54,49,94,79,36,58,183,45,69,113,50,55,165
