Family	FS	TX	F1	Group
SOMICS.URJA4208	0	0	1	F1
SOMICS.URJA4234	0	0	1	F1
SOMICS.URJA4271	0	0	1	F1
SOMICS.URJA4325	0	0	1	F1
SOMICS.URJA4519	0	0	1	F1
SOMICS.URJA4563	0	0	1	F1
SOMICS.URJA4590	0	0	1	F1
SOMICS.URJA4787	0	0	1	F1
SOMICS.URJA4823	0	0	1	F1
SOMICS.URJAFS298	1	0	0	FS
SOMICS.URJAFS312	1	0	0	FS
SOMICS.URJAFS353	1	0	0	FS
SOMICS.URJAFS3609	1	0	0	FS
SOMICS.URJAFS48	1	0	0	FS
SOMICS.URJAFS554	1	0	0	FS
SOMICS.URJAFS640	1	0	0	FS
SOMICS.URJAFS801	1	0	0	FS
SOMICS.URJAFS897	1	0	0	FS
SOMICS.URJAFS974	1	0	0	FS
SOMICS.URJAFS977	1	0	0	FS
SOMICS.URJATE1033	0	1	0	TX
SOMICS.URJATE107	0	1	0	TX
SOMICS.URJATE1142	0	1	0	TX
SOMICS.URJATE251	0	1	0	TX
SOMICS.URJATE30233	0	1	0	TX
SOMICS.URJATE379	0	1	0	TX
SOMICS.URJATE509	0	1	0	TX
SOMICS.URJATE73	0	1	0	TX
SOMICS.URJATE787	0	1	0	TX
SOMICS.URJATE797	0	1	0	TX
SOMICS.URJATE83	0	1	0	TX
