sample,breed,diet,GAPDH,GJA5,ABLIM3,BMX,CNTN4,FBLN2
41B,FIN,CON,18.34,26.81,27.413,31.774,35.79,37.87
41B,FIN,CON,18.29,26.72,29.852,30.993,34.74,37.901
42B,FIN,CON,18.16,23.49,24.985,28.934,33.97,34.73
42B,FIN,CON,18.07,23.45,25.036,27.423,33.53,34.41
45A,FIN,CON,19.9,23.74,24.902,29.26,29.7,33.89
45A,FIN,CON,19.86,23.54,24.57,29.147,28.74,34.66
46F,FIN,CON,17.73,24.76,26.263,27.454,37.7,33.64
46F,FIN,CON,17.7,22.99,26.977,29.465,36.56,33.87
974,FIN,CON,17.96,22.25,24.81,29.354,30.98,35.4
974,FIN,CON,18.12,22.45,25.037,28.468,30.68,34.95
19A,FXT,CON,17.56,22.45,24.648,26.23,33.13,33.17
19A,FXT,CON,17.48,22.44,25.052,31.865,32.78,32.7
29A,FXT,CON,18.53,22.96,29.443,28.996,32.77,35.26
29A,FXT,CON,18.47,23.09,24.895,28.921,32.27,35.93
37C5,FXT,CON,17.63,27.72,32.136,33.478,36.697,36.9
37C5,FXT,CON,17.56,27.024,29.952,34.505,36.262,36.89
37C6,FXT,CON,17.43,26.34,31.596,33.36,32.55,38.1
37C6,FXT,CON,17.39,27.78,27.1,31.518,31.09,38.5
37C7,FXT,CON,17.36,25.64,26.508,28.643,33.47,35.92
37C7,FXT,CON,17.34,24.06,25.828,28.614,32.59,37.49
4208,FXT,CON,15.19,28.149,30.798,36.661,33.505,NA
4208,FXT,CON,15.34,28.334,30.392,36.229,34.469,NA
11E,TEX,CON,18.98,24.693,24.971,28.272,31.69,35.3
11E,TEX,CON,19.05,25.028,25.169,27.437,31.06,36.41
26B,TEX,CON,19.344,24.54,29.841,30.953,34.12,34.93
26B,TEX,CON,19.399,24.63,30.12,29.696,32.82,34.17
27A,TEX,CON,18.29,31.29,34.338,36.602,38.201,NA
27A,TEX,CON,18.17,31.34,34.354,37.913,38.86,NA
3B,TEX,CON,16.65,25.6,26.798,30.926,29.99,39.52
3B,TEX,CON,16.63,26.57,26.22,30.796,29.9,39.38
44A,TEX,CON,17.85,25.5,27.286,31.139,31.42,35.6
44A,TEX,CON,17.88,26.79,26.264,30.675,30.08,38.13
21J,FIN,FLU,19.11,25.69,26.744,30.766,30.56,36.59
21J,FIN,FLU,19.06,25.78,26.291,30.594,29.39,36.365
23C,FIN,FLU,18.43,24.68,25.644,29.541,28.83,36.69
23C,FIN,FLU,18.38,24.86,25.546,30.957,28.27,35.87
35C,FIN,FLU,17.87,24.53,25.016,30.078,28.74,38.7
35C,FIN,FLU,17.86,24.33,24.946,30.015,28.24,36.14
39A,FIN,FLU,16.17,24.49,25.393,30.32,28.92,38.7
39A,FIN,FLU,16.25,24.7,25.274,31.442,28.6,38.07
39E,FIN,FLU,16.37,22.34,23.933,28.293,31.4,34.93
39E,FIN,FLU,16.22,22.32,24.015,28.497,32.02,36.35
39J,FIN,FLU,16.35,28.43,27.224,34.369,37.758,38.8
39J,FIN,FLU,16.39,27.5,27.866,33.105,36.274,37.67
5B,FIN,FLU,18.13,22.86,23.916,27.831,29.22,36.68
5B,FIN,FLU,18.18,23.33,23.707,27.725,29.21,34.95
801,FIN,FLU,19.41,24.86,26.975,31.913,34.63,36.48
801,FIN,FLU,19.41,24.9,26.764,30.534,32.62,39.64
24A,FXT,FLU,17.76,22.62,22.69,29.747,31.63,34.8
24A,FXT,FLU,17.66,22.64,23.38,35.258,31.55,34.58
31A,FXT,FLU,18.61,22.99,24.453,26.909,33.17,33.99
31A,FXT,FLU,18.52,22.43,24.337,26.61,33.65,34.67
33A,FXT,FLU,16.68,24.24,26.537,30.772,33.04,36.44
33A,FXT,FLU,16.54,24.35,26.366,31.845,30.74,36.47
4563,FXT,FLU,17.97,24.43,25.772,30.332,32.05,38.074
4563,FXT,FLU,18.07,24.41,25.885,29.942,32.07,38.14
4590,FXT,FLU,19.36,26.71,27.569,33.838,38.295,36.07
4590,FXT,FLU,19.34,27.52,29.063,34.177,37.758,38.55
7G,FXT,FLU,18.38,23.18,28.932,30.027,31.04,35.2
7G,FXT,FLU,18.08,23.43,24.419,29.943,30.75,35.23
7M,FXT,FLU,18.2,22.2,25.048,27.095,32.1,33.65
7M,FXT,FLU,18.05,22.52,24.932,27.406,31.87,34.63
13B,TEX,FLU,18.06,22.43,24.112,29.344,31.94,34.13
13B,TEX,FLU,18.02,22.34,24.364,29.057,32.28,34.49
22A,TEX,FLU,17.61,24.59,26.464,31.597,37.35,35.92
22A,TEX,FLU,17.5,24.54,26.456,31.069,37.04,36.14
379,TEX,FLU,18.84,22.7,24.434,27.495,32.45,33.9
379,TEX,FLU,18.77,22.69,24.465,30.786,32.07,33.63
43A,TEX,FLU,17.01,24.57,26.262,30.644,33.17,36.17
43A,TEX,FLU,16.98,24.49,26.481,32.717,32.06,36.9
4H,TEX,FLU,18.11,24.68,26.384,32.046,31.19,36.38
4H,TEX,FLU,18.09,25.96,26.735,30.946,32.69,37.41
4P,TEX,FLU,18.21,24.59,25.695,28.04,29.72,36.873
4P,TEX,FLU,18.25,24.55,26.145,28.361,29.76,36.645
787,TEX,FLU,18.21,22.8,25.781,27.63,34.15,32.92
787,TEX,FLU,18.34,23.18,25.865,31.273,33.28,33.92
9K,TEX,FLU,18.97,24.33,26.999,29.908,35.46,33.11
9K,TEX,FLU,19.03,23.97,27.024,29.41,34.99,32.83
