"","ensembl_gene_id","external_gene_name","btaurus_homolog_ensembl_gene","sscrofa_homolog_ensembl_gene","mmusculus_homolog_ensembl_gene","hsapiens_homolog_ensembl_gene"
"1","ENSOARG00000001346","CST6","ENSBTAG00000014718","ENSSSCG00000012960","ENSMUSG00000024846","ENSG00000175315"
"2","ENSOARG00000002865","MEPE","ENSBTAG00000007568","ENSSSCG00000028730","ENSMUSG00000053863","ENSG00000152595"
"3","ENSOARG00000019163","","ENSBTAG00000038748","ENSSSCG00000014727","ENSMUSG00000073940","ENSG00000244734"
"4","ENSOARG00000019163","","ENSBTAG00000038748","ENSSSCG00000014725","ENSMUSG00000073940","ENSG00000244734"
"5","ENSOARG00000019163","","ENSBTAG00000038748","ENSSSCG00000014727","ENSMUSG00000052305","ENSG00000244734"
"6","ENSOARG00000019163","","ENSBTAG00000038748","ENSSSCG00000014725","ENSMUSG00000052305","ENSG00000244734"
"7","ENSOARG00000019163","","ENSBTAG00000038748","ENSSSCG00000014727","ENSMUSG00000073940","ENSG00000223609"
"8","ENSOARG00000019163","","ENSBTAG00000038748","ENSSSCG00000014725","ENSMUSG00000073940","ENSG00000223609"
"9","ENSOARG00000019163","","ENSBTAG00000038748","ENSSSCG00000014727","ENSMUSG00000052305","ENSG00000223609"
"10","ENSOARG00000019163","","ENSBTAG00000038748","ENSSSCG00000014725","ENSMUSG00000052305","ENSG00000223609"
