"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","external_gene_name","chromosome_name","description"
"ENSOARG00000000468",923.360357730666,-1.30796058871906,0.320946877011338,-4.07531801181183,4.59515070417498e-05,0.0314907885256488,"ENSOARG00000000468","","10","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NQN0]"
"ENSOARG00000000531",2035.98641817602,0.928380958798021,0.193584049384341,4.79575131190079,1.62066242757004e-06,0.0049816461919457,"ENSOARG00000000531","","5","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NQX0]"
"ENSOARG00000000656",67.9721412114198,-1.5550421766122,0.392627315321161,-3.96060619302609,7.47597371164161e-05,0.0355616568244823,"ENSOARG00000000656","","X",""
"ENSOARG00000000870",19.3796451110773,1.42373954648628,0.365166285828274,3.89888004928203,9.66386298027171e-05,0.0418278047593598,"ENSOARG00000000870","","7","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NRV5]"
"ENSOARG00000000936",7.87556653080915,-2.41428251941251,0.404625218082347,-5.96671292722335,2.42080769795894e-09,4.46469563734568e-05,"ENSOARG00000000936","LMOD2","4","leiomodin 2 (cardiac) [Source:HGNC Symbol;Acc:HGNC:6648]"
"ENSOARG00000001346",143.701223285365,2.13634278927204,0.403116128467172,5.299571608299,1.16074705423892e-07,0.000535191448033208,"ENSOARG00000001346","CST6","21","cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]"
"ENSOARG00000001933",62.3400797565956,-1.78894725001345,0.396676598499644,-4.50983813206984,6.48771095204901e-06,0.0132947614542933,"ENSOARG00000001933","CCDC42","11","coiled-coil domain containing 42 [Source:HGNC Symbol;Acc:HGNC:26528]"
"ENSOARG00000003857",7.74217315575712,-1.45429354795934,0.366314454386349,-3.97006869520225,7.18519126860451e-05,0.0355616568244823,"ENSOARG00000003857","","1",""
"ENSOARG00000004326",11.1375725534598,-1.64308318915163,0.405836488391223,-4.04863346729856,5.15175524331533e-05,0.0339335078401659,"ENSOARG00000004326","CCDC81","21","coiled-coil domain containing 81 [Source:HGNC Symbol;Acc:HGNC:26281]"
"ENSOARG00000005124",25.8900830877407,-1.51118350918763,0.385971657906084,-3.91527066361783,9.03028458486382e-05,0.0406208630728399,"ENSOARG00000005124","TRPA1","9","transient receptor potential cation channel, subfamily A, member 1 [Source:HGNC Symbol;Acc:HGNC:497]"
"ENSOARG00000005450",139.419928154757,-1.82026060627259,0.36151347938518,-5.03511130309241,4.77571260434441e-07,0.00176156935123848,"ENSOARG00000005450","","22","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5P608]"
"ENSOARG00000006214",359.315991559345,-1.54235344683014,0.359926282653422,-4.28519261071939,1.8258093518444e-05,0.0198078834565096,"ENSOARG00000006214","RASL10B","11","RAS-like, family 10, member B [Source:HGNC Symbol;Acc:HGNC:30295]"
"ENSOARG00000006480",670.961575597303,-1.18888468011174,0.295627547214402,-4.02156257532221,5.78133447886965e-05,0.0353267955110125,"ENSOARG00000006480","","16",""
"ENSOARG00000006935",864.184878702089,-1.11203539689187,0.280396254493755,-3.96594240853755,7.31065145054663e-05,0.0355616568244823,"ENSOARG00000006935","ZNF354B","5","zinc finger protein 354B [Source:HGNC Symbol;Acc:HGNC:17197]"
