"","ensembl_gene_id","external_gene_name","btaurus_homolog_ensembl_gene","sscrofa_homolog_ensembl_gene","mmusculus_homolog_ensembl_gene","hsapiens_homolog_ensembl_gene"
"1","ENSOARG00000000345","GRAMD1B","ENSBTAG00000001410","ENSSSCG00000023037","ENSMUSG00000040111","ENSG00000023171"
"2","ENSOARG00000000345","GRAMD1B","ENSBTAG00000001410","ENSSSCG00000015144","ENSMUSG00000040111","ENSG00000023171"
"3","ENSOARG00000000531","","ENSBTAG00000040507","ENSSSCG00000013568","ENSMUSG00000004568","ENSG00000104880"
"4","ENSOARG00000000531","","ENSBTAG00000040507","ENSSSCG00000013568","ENSMUSG00000004568","ENSG00000268861"
"5","ENSOARG00000001346","CST6","ENSBTAG00000014718","ENSSSCG00000012960","ENSMUSG00000024846","ENSG00000175315"
"6","ENSOARG00000001554","FBLN2","ENSBTAG00000004014","ENSSSCG00000027634","ENSMUSG00000064080","ENSG00000163520"
"7","ENSOARG00000001554","FBLN2","ENSBTAG00000004014","ENSSSCG00000011609","ENSMUSG00000064080","ENSG00000163520"
"8","ENSOARG00000001968","MFAP5","ENSBTAG00000000310","ENSSSCG00000000666","ENSMUSG00000030116","ENSG00000197614"
"9","ENSOARG00000002060","DCAF17","ENSBTAG00000007683","ENSSSCG00000015947","ENSMUSG00000041966","ENSG00000115827"
"10","ENSOARG00000002778","","","","",""
"11","ENSOARG00000003867","CYP11A1","ENSBTAG00000006934","ENSSSCG00000025273","ENSMUSG00000032323","ENSG00000140459"
"12","ENSOARG00000005014","ABLIM3","ENSBTAG00000004896","ENSSSCG00000014430","ENSMUSG00000032735","ENSG00000173210"
"13","ENSOARG00000005526","MCFD2","ENSBTAG00000003358","ENSSSCG00000021325","ENSMUSG00000024150","ENSG00000180398"
"14","ENSOARG00000005699","","ENSBTAG00000021705","ENSSSCG00000006363","ENSMUSG00000062963","ENSG00000143222"
"15","ENSOARG00000005709","COBLL1","ENSBTAG00000005501","","ENSMUSG00000034903","ENSG00000082438"
"16","ENSOARG00000005722","EPAS1","ENSBTAG00000003711","ENSSSCG00000008443","ENSMUSG00000024140","ENSG00000116016"
