"","ensembl_gene_id","external_gene_name","btaurus_homolog_ensembl_gene","sscrofa_homolog_ensembl_gene","mmusculus_homolog_ensembl_gene","hsapiens_homolog_ensembl_gene"
"1","ENSOARG00000000123","CX3CL1","ENSBTAG00000024869","ENSSSCG00000024759","ENSMUSG00000031778","ENSG00000006210"
"2","ENSOARG00000000304","ACKR3","ENSBTAG00000018424","ENSSSCG00000016322","ENSMUSG00000044337","ENSG00000144476"
"3","ENSOARG00000000327","LAMA1","ENSBTAG00000018160","","ENSMUSG00000032796","ENSG00000101680"
"4","ENSOARG00000000412","PAPLN","ENSBTAG00000011680","ENSSSCG00000002341","ENSMUSG00000021223","ENSG00000100767"
"5","ENSOARG00000000465","RELN","ENSBTAG00000003658","ENSSSCG00000015426","ENSMUSG00000042453","ENSG00000189056"
"6","ENSOARG00000000465","RELN","ENSBTAG00000046817","ENSSSCG00000015426","ENSMUSG00000042453","ENSG00000189056"
"7","ENSOARG00000000522","SLITRK5","ENSBTAG00000010129","ENSSSCG00000009488","ENSMUSG00000033214","ENSG00000165300"
"8","ENSOARG00000000675","ARFGEF3","ENSBTAG00000017370","ENSSSCG00000022968","ENSMUSG00000019852","ENSG00000112379"
"9","ENSOARG00000000684","MMRN2","ENSBTAG00000003510","ENSSSCG00000024048","ENSMUSG00000041445","ENSG00000173269"
"10","ENSOARG00000000684","MMRN2","ENSBTAG00000003510","ENSSSCG00000026850","ENSMUSG00000041445","ENSG00000173269"
"11","ENSOARG00000000714","SNCG","ENSBTAG00000003515","ENSSSCG00000021159","ENSMUSG00000023064","ENSG00000173267"
"12","ENSOARG00000000714","SNCG","ENSBTAG00000003515","ENSSSCG00000021391","ENSMUSG00000023064","ENSG00000173267"
"13","ENSOARG00000000729","ITIH4","ENSBTAG00000007850","ENSSSCG00000011453","ENSMUSG00000021922","ENSG00000055955"
"14","ENSOARG00000000741","ADIRF","ENSBTAG00000032774","ENSSSCG00000029058","","ENSG00000148671"
"15","ENSOARG00000000741","ADIRF","ENSBTAG00000032774","ENSSSCG00000026923","","ENSG00000148671"
"16","ENSOARG00000000778","MET","ENSBTAG00000006161","ENSSSCG00000016633","ENSMUSG00000009376","ENSG00000105976"
"17","ENSOARG00000000778","MET","ENSBTAG00000006161","ENSSSCG00000024351","ENSMUSG00000009376","ENSG00000105976"
"18","ENSOARG00000000858","NPR1","ENSBTAG00000006234","ENSSSCG00000006572","ENSMUSG00000027931","ENSG00000169418"
"19","ENSOARG00000001111","ID1","ENSBTAG00000016169","ENSSSCG00000007227","ENSMUSG00000042745","ENSG00000125968"
"20","ENSOARG00000001254","TNXB","ENSBTAG00000001444","ENSSSCG00000023611","ENSMUSG00000033327","ENSG00000168477"
