"","ensembl_gene_id","external_gene_name","btaurus_homolog_ensembl_gene","sscrofa_homolog_ensembl_gene","mmusculus_homolog_ensembl_gene","hsapiens_homolog_ensembl_gene"
"1","ENSOARG00000000217","","","ENSSSCG00000007217","ENSMUSG00000074680","ENSG00000178591"
"2","ENSOARG00000000936","LMOD2","ENSBTAG00000002157","ENSSSCG00000016605","ENSMUSG00000029683","ENSG00000170807"
"3","ENSOARG00000001138","","ENSBTAG00000020536","ENSSSCG00000021712","ENSMUSG00000029798","ENSG00000138642"
"4","ENSOARG00000001933","CCDC42","ENSBTAG00000018416","ENSSSCG00000017988","ENSMUSG00000045915","ENSG00000161973"
"5","ENSOARG00000003366","PCNXL2","ENSBTAG00000000535","ENSSSCG00000025474","ENSMUSG00000060212","ENSG00000135749"
"6","ENSOARG00000003366","PCNXL2","ENSBTAG00000000535","ENSSSCG00000010165","ENSMUSG00000060212","ENSG00000135749"
"7","ENSOARG00000005450","","ENSBTAG00000024700","","ENSMUSG00000060613",""
"8","ENSOARG00000005450","","ENSBTAG00000047324","","ENSMUSG00000060613",""
"9","ENSOARG00000008660","ARSH","ENSBTAG00000047161","","","ENSG00000205667"
"10","ENSOARG00000008786","","ENSBTAG00000031933","","ENSMUSG00000018907",""
"11","ENSOARG00000008838","CNTN6","ENSBTAG00000003592","","ENSMUSG00000030092","ENSG00000134115"
"12","ENSOARG00000008913","CSRP3","ENSBTAG00000011869","ENSSSCG00000013354","ENSMUSG00000030470","ENSG00000129170"
"13","ENSOARG00000009097","OAS2","ENSBTAG00000014628","ENSSSCG00000009881","ENSMUSG00000032690","ENSG00000111335"
"14","ENSOARG00000009563","STS","ENSBTAG00000020789","ENSSSCG00000026520","","ENSG00000101846"
"15","ENSOARG00000010230","NPVF","ENSBTAG00000019447","","ENSMUSG00000029831","ENSG00000105954"
"16","ENSOARG00000010332","SH2D4B","ENSBTAG00000003910","ENSSSCG00000010342","ENSMUSG00000037833","ENSG00000178217"
"17","ENSOARG00000012206","CA5A","ENSBTAG00000010151","","ENSMUSG00000025317","ENSG00000174990"
"18","ENSOARG00000012264","LTA4H","ENSBTAG00000016415","ENSSSCG00000000891","ENSMUSG00000015889","ENSG00000111144"
"19","ENSOARG00000014731","DDX58","ENSBTAG00000003366","ENSSSCG00000030408","ENSMUSG00000040296","ENSG00000107201"
"20","ENSOARG00000014731","DDX58","ENSBTAG00000003366","ENSSSCG00000026336","ENSMUSG00000040296","ENSG00000107201"
"21","ENSOARG00000015262","SERPINE1","ENSBTAG00000014465","ENSSSCG00000025698","ENSMUSG00000037411","ENSG00000106366"
"22","ENSOARG00000015547","SEC16B","ENSBTAG00000000854","ENSSSCG00000025291","ENSMUSG00000026589","ENSG00000120341"
"23","ENSOARG00000016786","KRT8","ENSBTAG00000047000","ENSSSCG00000000252","ENSMUSG00000049382","ENSG00000170421"
"24","ENSOARG00000016786","KRT8","ENSBTAG00000000836","ENSSSCG00000000252","ENSMUSG00000049382","ENSG00000170421"
"25","ENSOARG00000016859","AXDND1","ENSBTAG00000002164","ENSSSCG00000015528","ENSMUSG00000026601","ENSG00000162779"
"26","ENSOARG00000016979","SLC6A14","ENSBTAG00000000185","ENSSSCG00000022372","ENSMUSG00000031089","ENSG00000268104"
"27","ENSOARG00000017163","","ENSBTAG00000013756","ENSSSCG00000020838","",""
"28","ENSOARG00000018383","DHX58","ENSBTAG00000046580","ENSSSCG00000017416","ENSMUSG00000017830","ENSG00000108771"
"29","ENSOARG00000018592","","","","",""
"30","ENSOARG00000020481","TPRG1","ENSBTAG00000032538","ENSSSCG00000011812","ENSMUSG00000048399","ENSG00000188001"
