"","ensembl_gene_id","external_gene_name","btaurus_homolog_ensembl_gene","sscrofa_homolog_ensembl_gene","mmusculus_homolog_ensembl_gene","hsapiens_homolog_ensembl_gene"
"1","ENSOARG00000000345","GRAMD1B","ENSBTAG00000001410","ENSSSCG00000023037","ENSMUSG00000040111","ENSG00000023171"
"2","ENSOARG00000000345","GRAMD1B","ENSBTAG00000001410","ENSSSCG00000015144","ENSMUSG00000040111","ENSG00000023171"
"3","ENSOARG00000000531","","ENSBTAG00000040507","ENSSSCG00000013568","ENSMUSG00000004568","ENSG00000104880"
"4","ENSOARG00000000531","","ENSBTAG00000040507","ENSSSCG00000013568","ENSMUSG00000004568","ENSG00000268861"
"5","ENSOARG00000000549","PTPRM","ENSBTAG00000024015","ENSSSCG00000028805","ENSMUSG00000033278","ENSG00000173482"
"6","ENSOARG00000000848","ARHGEF15","ENSBTAG00000020688","ENSSSCG00000028048","ENSMUSG00000052921","ENSG00000198844"
"7","ENSOARG00000000870","","","","",""
"8","ENSOARG00000001346","CST6","ENSBTAG00000014718","ENSSSCG00000012960","ENSMUSG00000024846","ENSG00000175315"
"9","ENSOARG00000001554","FBLN2","ENSBTAG00000004014","ENSSSCG00000027634","ENSMUSG00000064080","ENSG00000163520"
"10","ENSOARG00000001554","FBLN2","ENSBTAG00000004014","ENSSSCG00000011609","ENSMUSG00000064080","ENSG00000163520"
"11","ENSOARG00000001587","","","","",""
"12","ENSOARG00000001968","MFAP5","ENSBTAG00000000310","ENSSSCG00000000666","ENSMUSG00000030116","ENSG00000197614"
"13","ENSOARG00000001985","OLFM1","ENSBTAG00000038584","ENSSSCG00000029715","ENSMUSG00000026833","ENSG00000130558"
"14","ENSOARG00000002489","PREX2","ENSBTAG00000022169","ENSSSCG00000006199","ENSMUSG00000048960","ENSG00000046889"
"15","ENSOARG00000002562","IL6R","ENSBTAG00000018474","ENSSSCG00000027628","ENSMUSG00000027947","ENSG00000160712"
"16","ENSOARG00000002778","","","","",""
"17","ENSOARG00000002865","MEPE","ENSBTAG00000007568","ENSSSCG00000028730","ENSMUSG00000053863","ENSG00000152595"
"18","ENSOARG00000002866","RASSF4","ENSBTAG00000002669","ENSSSCG00000010411","ENSMUSG00000042129","ENSG00000107551"
