"","ensembl_gene_id","external_gene_name","btaurus_homolog_ensembl_gene","sscrofa_homolog_ensembl_gene","mmusculus_homolog_ensembl_gene","hsapiens_homolog_ensembl_gene"
"1","ENSOARG00000000072","FOSL1","ENSBTAG00000006194","ENSSSCG00000012967","ENSMUSG00000024912","ENSG00000175592"
"2","ENSOARG00000000130","CHRFAM7A","ENSBTAG00000015775","ENSSSCG00000004839","ENSMUSG00000030525","ENSG00000166664"
"3","ENSOARG00000000229","NRG1","ENSBTAG00000004150","ENSSSCG00000025008","ENSMUSG00000062991","ENSG00000157168"
"4","ENSOARG00000002356","RARRES1","ENSBTAG00000014713","ENSSSCG00000028623","ENSMUSG00000049404","ENSG00000118849"
"5","ENSOARG00000002559","","","ENSSSCG00000012502","",""
"6","ENSOARG00000002587","CLEC4G","ENSBTAG00000013429","ENSSSCG00000013578","ENSMUSG00000074491","ENSG00000182566"
"7","ENSOARG00000003849","RCOR2","ENSBTAG00000007827","ENSSSCG00000013049","ENSMUSG00000024968","ENSG00000167771"
"8","ENSOARG00000004315","ACSF2","ENSBTAG00000021301","ENSSSCG00000017566","ENSMUSG00000076435","ENSG00000167107"
"9","ENSOARG00000004833","","ENSBTAG00000019868","ENSSSCG00000014023","ENSMUSG00000020375","ENSG00000176783"
"10","ENSOARG00000005238","ENO2","ENSBTAG00000011274","ENSSSCG00000028373","ENSMUSG00000004267","ENSG00000111674"
"11","ENSOARG00000005833","ASTN2","ENSBTAG00000047511","ENSSSCG00000030322","ENSMUSG00000028373","ENSG00000148219"
"12","ENSOARG00000005833","ASTN2","ENSBTAG00000047511","ENSSSCG00000005502","ENSMUSG00000028373","ENSG00000148219"
"13","ENSOARG00000005833","ASTN2","ENSBTAG00000025667","ENSSSCG00000030322","ENSMUSG00000028373","ENSG00000148219"
"14","ENSOARG00000005833","ASTN2","ENSBTAG00000025667","ENSSSCG00000005502","ENSMUSG00000028373","ENSG00000148219"
"15","ENSOARG00000006210","OGG1","ENSBTAG00000007777","ENSSSCG00000011549","ENSMUSG00000030271","ENSG00000114026"
"16","ENSOARG00000006322","LIF","ENSBTAG00000007424","ENSSSCG00000009996","ENSMUSG00000034394","ENSG00000128342"
