"","ensembl_gene_id","external_gene_name","btaurus_homolog_ensembl_gene","sscrofa_homolog_ensembl_gene","mmusculus_homolog_ensembl_gene","hsapiens_homolog_ensembl_gene"
"1","ENSOARG00000000130","CHRFAM7A","ENSBTAG00000015775","ENSSSCG00000004839","ENSMUSG00000030525","ENSG00000166664"
"2","ENSOARG00000000158","EDNRB","ENSBTAG00000005299","ENSSSCG00000009477","ENSMUSG00000022122","ENSG00000136160"
"3","ENSOARG00000000327","LAMA1","ENSBTAG00000018160","","ENSMUSG00000032796","ENSG00000101680"
"4","ENSOARG00000000345","GRAMD1B","ENSBTAG00000001410","ENSSSCG00000023037","ENSMUSG00000040111","ENSG00000023171"
"5","ENSOARG00000000345","GRAMD1B","ENSBTAG00000001410","ENSSSCG00000015144","ENSMUSG00000040111","ENSG00000023171"
"6","ENSOARG00000000348","","","","",""
"7","ENSOARG00000000392","GPRIN3","ENSBTAG00000045966","ENSSSCG00000009206","ENSMUSG00000045441","ENSG00000185477"
"8","ENSOARG00000000443","","ENSBTAG00000040392","","ENSMUSG00000054753",""
"9","ENSOARG00000000461","NEBL","ENSBTAG00000013339","ENSSSCG00000011090","","ENSG00000078114"
"10","ENSOARG00000000465","RELN","ENSBTAG00000003658","ENSSSCG00000015426","ENSMUSG00000042453","ENSG00000189056"
"11","ENSOARG00000000465","RELN","ENSBTAG00000046817","ENSSSCG00000015426","ENSMUSG00000042453","ENSG00000189056"
"12","ENSOARG00000000484","ALDOC","ENSBTAG00000013099","ENSSSCG00000017759","ENSMUSG00000017390","ENSG00000109107"
"13","ENSOARG00000000498","ITGA9","ENSBTAG00000016566","ENSSSCG00000030516","ENSMUSG00000039115","ENSG00000144668"
"14","ENSOARG00000000498","ITGA9","ENSBTAG00000016566","ENSSSCG00000011245","ENSMUSG00000039115","ENSG00000144668"
"15","ENSOARG00000000531","","ENSBTAG00000040507","ENSSSCG00000013568","ENSMUSG00000004568","ENSG00000104880"
"16","ENSOARG00000000531","","ENSBTAG00000040507","ENSSSCG00000013568","ENSMUSG00000004568","ENSG00000268861"
"17","ENSOARG00000000549","PTPRM","ENSBTAG00000024015","ENSSSCG00000028805","ENSMUSG00000033278","ENSG00000173482"
"18","ENSOARG00000000612","PERP","ENSBTAG00000001350","ENSSSCG00000004153","ENSMUSG00000019851","ENSG00000112378"
"19","ENSOARG00000000612","PERP","ENSBTAG00000020097","ENSSSCG00000004153","ENSMUSG00000019851","ENSG00000112378"
"20","ENSOARG00000000684","MMRN2","ENSBTAG00000003510","ENSSSCG00000024048","ENSMUSG00000041445","ENSG00000173269"
"21","ENSOARG00000000684","MMRN2","ENSBTAG00000003510","ENSSSCG00000026850","ENSMUSG00000041445","ENSG00000173269"
"22","ENSOARG00000000714","SNCG","ENSBTAG00000003515","ENSSSCG00000021159","ENSMUSG00000023064","ENSG00000173267"
"23","ENSOARG00000000714","SNCG","ENSBTAG00000003515","ENSSSCG00000021391","ENSMUSG00000023064","ENSG00000173267"
"24","ENSOARG00000000729","ITIH4","ENSBTAG00000007850","ENSSSCG00000011453","ENSMUSG00000021922","ENSG00000055955"
"25","ENSOARG00000000778","MET","ENSBTAG00000006161","ENSSSCG00000016633","ENSMUSG00000009376","ENSG00000105976"
"26","ENSOARG00000000778","MET","ENSBTAG00000006161","ENSSSCG00000024351","ENSMUSG00000009376","ENSG00000105976"
"27","ENSOARG00000000838","ARF6","ENSBTAG00000045980","ENSSSCG00000005012","ENSMUSG00000044147","ENSG00000165527"
"28","ENSOARG00000000848","ARHGEF15","ENSBTAG00000020688","ENSSSCG00000028048","ENSMUSG00000052921","ENSG00000198844"
"29","ENSOARG00000000858","NPR1","ENSBTAG00000006234","ENSSSCG00000006572","ENSMUSG00000027931","ENSG00000169418"
"30","ENSOARG00000000899","MECOM","ENSBTAG00000005871","ENSSSCG00000011743","ENSMUSG00000027684","ENSG00000085276"
"31","ENSOARG00000000950","A2M","ENSBTAG00000018137","ENSSSCG00000000660","ENSMUSG00000030111","ENSG00000175899"
"32","ENSOARG00000001010","EXOC6","ENSBTAG00000021116","ENSSSCG00000021583","ENSMUSG00000053799","ENSG00000138190"
"33","ENSOARG00000001010","EXOC6","ENSBTAG00000021116","ENSSSCG00000010473","ENSMUSG00000053799","ENSG00000138190"
"34","ENSOARG00000001035","GNGT1","ENSBTAG00000002674","ENSSSCG00000029093","ENSMUSG00000029663","ENSG00000127928"
"35","ENSOARG00000001035","GNGT1","ENSBTAG00000002674","ENSSSCG00000015323","ENSMUSG00000029663","ENSG00000127928"
