"","ensembl_gene_id","external_gene_name","btaurus_homolog_ensembl_gene","sscrofa_homolog_ensembl_gene","mmusculus_homolog_ensembl_gene","hsapiens_homolog_ensembl_gene"
"1","ENSOARG00000000531","","ENSBTAG00000040507","ENSSSCG00000013568","ENSMUSG00000004568","ENSG00000104880"
"2","ENSOARG00000000531","","ENSBTAG00000040507","ENSSSCG00000013568","ENSMUSG00000004568","ENSG00000268861"
"3","ENSOARG00000000870","","","","",""
"4","ENSOARG00000000879","","","","",""
"5","ENSOARG00000000936","LMOD2","ENSBTAG00000002157","ENSSSCG00000016605","ENSMUSG00000029683","ENSG00000170807"
"6","ENSOARG00000001346","CST6","ENSBTAG00000014718","ENSSSCG00000012960","ENSMUSG00000024846","ENSG00000175315"
"7","ENSOARG00000001968","MFAP5","ENSBTAG00000000310","ENSSSCG00000000666","ENSMUSG00000030116","ENSG00000197614"
"8","ENSOARG00000002031","","ENSBTAG00000045602","ENSSSCG00000022882","",""
"9","ENSOARG00000003042","PON3","ENSBTAG00000034645","ENSSSCG00000029515","ENSMUSG00000029759","ENSG00000105852"
"10","ENSOARG00000003044","ACTA1","ENSBTAG00000046332","ENSSSCG00000010190","ENSMUSG00000031972","ENSG00000143632"
"11","ENSOARG00000003121","WIF1","ENSBTAG00000014758","ENSSSCG00000030998","ENSMUSG00000020218","ENSG00000156076"
"12","ENSOARG00000005014","ABLIM3","ENSBTAG00000004896","ENSSSCG00000014430","ENSMUSG00000032735","ENSG00000173210"
"13","ENSOARG00000005450","","ENSBTAG00000024700","","ENSMUSG00000060613",""
"14","ENSOARG00000005450","","ENSBTAG00000047324","","ENSMUSG00000060613",""
"15","ENSOARG00000005699","","ENSBTAG00000021705","ENSSSCG00000006363","ENSMUSG00000062963","ENSG00000143222"
"16","ENSOARG00000005854","ADGRL3","ENSBTAG00000013918","ENSSSCG00000026129","ENSMUSG00000037605","ENSG00000150471"
"17","ENSOARG00000006408","LGI2","ENSBTAG00000017390","ENSSSCG00000028927","ENSMUSG00000039252","ENSG00000153012"
"18","ENSOARG00000006557","AKAP6","ENSBTAG00000017719","","ENSMUSG00000061603","ENSG00000151320"
"19","ENSOARG00000006941","C17orf67","ENSBTAG00000035147","ENSSSCG00000030781","ENSMUSG00000072553","ENSG00000214226"
"20","ENSOARG00000007044","","ENSBTAG00000007736","ENSSSCG00000005954","ENSMUSG00000015001","ENSG00000253117"
"21","ENSOARG00000007044","","ENSBTAG00000007736","ENSSSCG00000029568","ENSMUSG00000015001","ENSG00000253117"
"22","ENSOARG00000007044","","ENSBTAG00000007736","ENSSSCG00000005954","ENSMUSG00000015001","ENSG00000258417"
"23","ENSOARG00000007044","","ENSBTAG00000007736","ENSSSCG00000029568","ENSMUSG00000015001","ENSG00000258417"
"24","ENSOARG00000007322","","ENSBTAG00000039366","ENSSSCG00000025644","","ENSG00000158477"
"25","ENSOARG00000007849","PLEKHB1","ENSBTAG00000009830","ENSSSCG00000014827","ENSMUSG00000030701","ENSG00000021300"
"26","ENSOARG00000007935","PLA2G4A","ENSBTAG00000013298","ENSSSCG00000023351","ENSMUSG00000056220","ENSG00000116711"
"27","ENSOARG00000008330","WDR91","ENSBTAG00000017905","ENSSSCG00000016532","ENSMUSG00000058486","ENSG00000105875"
"28","ENSOARG00000008660","ARSH","ENSBTAG00000047161","","","ENSG00000205667"
"29","ENSOARG00000008867","PLAUR","ENSBTAG00000013125","ENSSSCG00000003065","ENSMUSG00000046223","ENSG00000011422"
"30","ENSOARG00000008913","CSRP3","ENSBTAG00000011869","ENSSSCG00000013354","ENSMUSG00000030470","ENSG00000129170"
"31","ENSOARG00000009028","MKRN3","","ENSSSCG00000004836","ENSMUSG00000070527","ENSG00000179455"
"32","ENSOARG00000009233","CEACAM16","ENSBTAG00000037983","ENSSSCG00000003081","ENSMUSG00000014686","ENSG00000213892"
"33","ENSOARG00000009291","NMUR2","ENSBTAG00000011131","ENSSSCG00000017076","ENSMUSG00000037393","ENSG00000132911"
"34","ENSOARG00000009752","ADRA1A","ENSBTAG00000031632","ENSSSCG00000009661","ENSMUSG00000045875","ENSG00000120907"
"35","ENSOARG00000009843","HAND1","ENSBTAG00000002335","ENSSSCG00000017070","ENSMUSG00000037335","ENSG00000113196"
"36","ENSOARG00000009884","PQLC2","ENSBTAG00000013650","ENSSSCG00000003492","ENSMUSG00000028744","ENSG00000040487"
"37","ENSOARG00000010088","VIT","ENSBTAG00000024980","ENSSSCG00000008501","ENSMUSG00000024076","ENSG00000205221"
"38","ENSOARG00000010120","BRINP3","ENSBTAG00000008420","ENSSSCG00000010809","ENSMUSG00000035131","ENSG00000162670"
"39","ENSOARG00000010382","THSD7B","ENSBTAG00000044055","ENSSSCG00000013393","ENSMUSG00000042581","ENSG00000144229"
"40","ENSOARG00000010561","HMGA1","ENSBTAG00000034529","ENSSSCG00000001526","ENSMUSG00000078249","ENSG00000137309"
"41","ENSOARG00000010561","HMGA1","ENSBTAG00000034529","ENSSSCG00000001526","ENSMUSG00000046711","ENSG00000137309"
"42","ENSOARG00000010710","CALN1","ENSBTAG00000043969","ENSSSCG00000007729","ENSMUSG00000060371","ENSG00000183166"
"43","ENSOARG00000010710","CALN1","ENSBTAG00000043969","ENSSSCG00000007730","ENSMUSG00000060371","ENSG00000183166"
"44","ENSOARG00000011052","EEF1A2","ENSBTAG00000021685","ENSSSCG00000030403","ENSMUSG00000016349","ENSG00000101210"
"45","ENSOARG00000011391","EHD2","ENSBTAG00000021191","ENSSSCG00000023371","ENSMUSG00000074364","ENSG00000024422"
"46","ENSOARG00000011449","PRLR","ENSBTAG00000025035","ENSSSCG00000016830","ENSMUSG00000005268","ENSG00000113494"
"47","ENSOARG00000011622","C1orf158","ENSBTAG00000012158","ENSSSCG00000003442","ENSMUSG00000028589","ENSG00000157330"
"48","ENSOARG00000012165","ADAMTSL5","ENSBTAG00000006662","ENSSSCG00000023299","ENSMUSG00000043822","ENSG00000185761"
"49","ENSOARG00000012165","ADAMTSL5","ENSBTAG00000006662","ENSSSCG00000013433","ENSMUSG00000043822","ENSG00000185761"
"50","ENSOARG00000012165","ADAMTSL5","ENSBTAG00000046263","ENSSSCG00000023299","ENSMUSG00000043822","ENSG00000185761"
"51","ENSOARG00000012165","ADAMTSL5","ENSBTAG00000046263","ENSSSCG00000013433","ENSMUSG00000043822","ENSG00000185761"
"52","ENSOARG00000012206","CA5A","ENSBTAG00000010151","","ENSMUSG00000025317","ENSG00000174990"
"53","ENSOARG00000012224","","ENSBTAG00000000377","ENSSSCG00000012137","ENSMUSG00000031377","ENSG00000102010"
"54","ENSOARG00000012264","LTA4H","ENSBTAG00000016415","ENSSSCG00000000891","ENSMUSG00000015889","ENSG00000111144"
"55","ENSOARG00000012695","CFAP221","ENSBTAG00000009057","ENSSSCG00000015741","ENSMUSG00000036962","ENSG00000163075"
"56","ENSOARG00000012848","","ENSBTAG00000010571","ENSSSCG00000008902","ENSMUSG00000029246","ENSG00000128059"
"57","ENSOARG00000013019","TRH","ENSBTAG00000005306","ENSSSCG00000011596","ENSMUSG00000005892","ENSG00000170893"
"58","ENSOARG00000014199","PLIN2","ENSBTAG00000005718","ENSSSCG00000005171","ENSMUSG00000028494","ENSG00000147872"
"59","ENSOARG00000014199","PLIN2","ENSBTAG00000005718","ENSSSCG00000026749","ENSMUSG00000028494","ENSG00000147872"
"60","ENSOARG00000014283","","ENSBTAG00000046419","ENSSSCG00000028944","",""
"61","ENSOARG00000014509","MGAM","ENSBTAG00000046152","","ENSMUSG00000068587","ENSG00000257335"
"62","ENSOARG00000014564","EYA4","ENSBTAG00000021970","ENSSSCG00000023999","ENSMUSG00000010461","ENSG00000112319"
"63","ENSOARG00000014564","EYA4","ENSBTAG00000021970","ENSSSCG00000023510","ENSMUSG00000010461","ENSG00000112319"
"64","ENSOARG00000014856","","","","",""
"65","ENSOARG00000015237","NEIL2","ENSBTAG00000004769","ENSSSCG00000028699","ENSMUSG00000035121","ENSG00000154328"
"66","ENSOARG00000015262","SERPINE1","ENSBTAG00000014465","ENSSSCG00000025698","ENSMUSG00000037411","ENSG00000106366"
"67","ENSOARG00000016092","COLGALT1","ENSBTAG00000012678","ENSSSCG00000013883","ENSMUSG00000034807","ENSG00000130309"
"68","ENSOARG00000016098","","ENSBTAG00000013919","","ENSMUSG00000067341","ENSG00000196126"
"69","ENSOARG00000016098","","ENSBTAG00000013919","","ENSMUSG00000060586","ENSG00000196126"
"70","ENSOARG00000016098","","ENSBTAG00000013919","","ENSMUSG00000067341","ENSG00000198502"
"71","ENSOARG00000016098","","ENSBTAG00000013919","","ENSMUSG00000060586","ENSG00000198502"
"72","ENSOARG00000016786","KRT8","ENSBTAG00000047000","ENSSSCG00000000252","ENSMUSG00000049382","ENSG00000170421"
"73","ENSOARG00000016786","KRT8","ENSBTAG00000000836","ENSSSCG00000000252","ENSMUSG00000049382","ENSG00000170421"
"74","ENSOARG00000017123","","ENSBTAG00000017866","ENSSSCG00000027203","ENSMUSG00000002944","ENSG00000135218"
"75","ENSOARG00000017123","","ENSBTAG00000017866","ENSSSCG00000030638","ENSMUSG00000002944","ENSG00000135218"
"76","ENSOARG00000017123","","ENSBTAG00000017866","ENSSSCG00000015405","ENSMUSG00000002944","ENSG00000135218"
"77","ENSOARG00000017163","","ENSBTAG00000013756","ENSSSCG00000020838","",""
"78","ENSOARG00000017490","THBS4","ENSBTAG00000012866","ENSSSCG00000024986","ENSMUSG00000021702","ENSG00000113296"
"79","ENSOARG00000017490","THBS4","ENSBTAG00000012866","ENSSSCG00000014118","ENSMUSG00000021702","ENSG00000113296"
"80","ENSOARG00000017490","THBS4","ENSBTAG00000012866","ENSSSCG00000014117","ENSMUSG00000021702","ENSG00000113296"
"81","ENSOARG00000018362","MT3","ENSBTAG00000016886","ENSSSCG00000024305","ENSMUSG00000031760","ENSG00000087250"
"82","ENSOARG00000018592","","","","",""
"83","ENSOARG00000018795","NTNG1","ENSBTAG00000014530","ENSSSCG00000006852","ENSMUSG00000059857","ENSG00000162631"
"84","ENSOARG00000018906","HHLA2","ENSBTAG00000018397","ENSSSCG00000027275","","ENSG00000114455"
"85","ENSOARG00000020289","PAX3","ENSBTAG00000009950","ENSSSCG00000028418","ENSMUSG00000004872","ENSG00000135903"
"86","ENSOARG00000020469","CLDN16","ENSBTAG00000006494","ENSSSCG00000024788","ENSMUSG00000038148","ENSG00000113946"
"87","ENSOARG00000020481","TPRG1","ENSBTAG00000032538","ENSSSCG00000011812","ENSMUSG00000048399","ENSG00000188001"
"88","ENSOARG00000020838","GPRC5A","ENSBTAG00000039509","ENSSSCG00000029592","ENSMUSG00000046733","ENSG00000013588"
"89","ENSOARG00000023487","U6","ENSBTAG00000043220","","",""
"90","ENSOARG00000024669","U5","ENSBTAG00000043272","ENSSSCG00000020485","","ENSG00000200169"
"91","ENSOARG00000025214","","","","",""
"92","ENSOARG00000025549","","","","",""
"93","ENSOARG00000026322","","","","",""
