"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","external_gene_name","chromosome_name","description"
"ENSOARG00000000123",331.064894680538,1.3773439231144,0.328225586857379,4.19633318749424,2.71271091445648e-05,0.00546062248244579,"ENSOARG00000000123","CX3CL1","14","chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]"
"ENSOARG00000000304",182.397758940856,1.36849885651229,0.379597608396522,3.60513034392666,0.000311996297347094,0.0253095228648652,"ENSOARG00000000304","ACKR3","1","atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]"
"ENSOARG00000000327",16738.4678457108,-0.931713689909246,0.276171628846126,-3.37367633960825,0.000741715221582983,0.0449521959919235,"ENSOARG00000000327","LAMA1","23","laminin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]"
"ENSOARG00000000412",29.9367538830226,1.45515921347871,0.396955953785141,3.66579515838762,0.000246571238468758,0.0225366111960445,"ENSOARG00000000412","PAPLN","7","papilin, proteoglycan-like sulfated glycoprotein [Source:HGNC Symbol;Acc:HGNC:19262]"
"ENSOARG00000000465",1505.16726684607,1.37473547187961,0.386788220573094,3.55423303699039,0.000379083153767492,0.0288133123178693,"ENSOARG00000000465","RELN","4","reelin [Source:HGNC Symbol;Acc:HGNC:9957]"
"ENSOARG00000000522",149.775436681468,1.05465390738029,0.289509702406281,3.64289658900706,0.000269587163520591,0.0239025624970687,"ENSOARG00000000522","SLITRK5","10","SLIT and NTRK-like family, member 5 [Source:HGNC Symbol;Acc:HGNC:20295]"
"ENSOARG00000000675",24.2933915405013,1.25951353809086,0.365102675199963,3.44975160042592,0.000561102591975592,0.0372066028537854,"ENSOARG00000000675","ARFGEF3","8","ARFGEF family member 3 [Source:HGNC Symbol;Acc:HGNC:21213]"
"ENSOARG00000000684",1639.59982657778,1.15244659672352,0.307036793081406,3.75344786908963,0.000174418818590916,0.0186661253389481,"ENSOARG00000000684","MMRN2","25","multimerin 2 [Source:HGNC Symbol;Acc:HGNC:19888]"
"ENSOARG00000000729",2361.52981481024,1.57782941311578,0.372431737391881,4.23656003155164,2.26970258307956e-05,0.00505269602529283,"ENSOARG00000000729","ITIH4","19","inter-alpha-trypsin inhibitor heavy chain family, member 4 [Source:HGNC Symbol;Acc:HGNC:6169]"
"ENSOARG00000000741",68.1855772914802,1.59843074431623,0.393515171953284,4.06192914083115,4.8668851311919e-05,0.00814793670131919,"ENSOARG00000000741","ADIRF","25","adipogenesis regulatory factor [Source:HGNC Symbol;Acc:HGNC:24043]"
"ENSOARG00000000778",194.731470334342,1.13295667332468,0.326277729875231,3.47236899606332,0.000515886725489843,0.0354176627534949,"ENSOARG00000000778","MET","4","MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]"
