"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","external_gene_name","chromosome_name","description"
"ENSOARG00000000345",3872.53473842387,1.44704402629498,0.403053304000797,3.59020509677329,0.000330417871440004,0.049028620402301,"ENSOARG00000000345","GRAMD1B","15","GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]"
"ENSOARG00000000531",2035.98641817602,-1.0352755085894,0.166609666548809,-6.21377816806394,5.17255380948684e-10,7.8007811155075e-06,"ENSOARG00000000531","","5","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NQX0]"
"ENSOARG00000000549",9293.15508777113,0.824121570212668,0.221941754283686,3.71323355928454,0.000204627880542424,0.0411911051439505,"ENSOARG00000000549","PTPRM","23","protein tyrosine phosphatase, receptor type, M [Source:HGNC Symbol;Acc:HGNC:9675]"
"ENSOARG00000000848",257.678090920302,0.994150908639653,0.275053618831272,3.61438948836191,0.000301056194206242,0.0481581204789221,"ENSOARG00000000848","ARHGEF15","11","Rho guanine nucleotide exchange factor (GEF) 15 [Source:HGNC Symbol;Acc:HGNC:15590]"
"ENSOARG00000000870",19.3796451110773,-1.71376623508211,0.388649983511473,-4.40953636379484,1.03592163247336e-05,0.00913002145083689,"ENSOARG00000000870","","7","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NRV5]"
"ENSOARG00000001346",143.701223285365,-2.0792754507703,0.389016350214292,-5.3449564513803,9.04387946386825e-08,0.000509743192848494,"ENSOARG00000001346","CST6","21","cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]"
"ENSOARG00000001554",423.202419845442,1.55241805527558,0.390174504680558,3.97877881986823,6.92701440061197e-05,0.0237539148818384,"ENSOARG00000001554","FBLN2","19","fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]"
"ENSOARG00000001587",80.885608125719,1.48426692995833,0.396862793935162,3.74000020319573,0.00018402010618836,0.0398387896921503,"ENSOARG00000001587","","19","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NU17]"
"ENSOARG00000001968",470.632168456404,1.48822950682538,0.380135686145053,3.91499551625231,9.04058879076005e-05,0.0272977349755289,"ENSOARG00000001968","MFAP5","3","microfibrillar associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]"
"ENSOARG00000001985",100.460971620817,1.25697770798435,0.349704169872022,3.5944029733599,0.000325136280588169,0.049028620402301,"ENSOARG00000001985","OLFM1","3","olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]"
"ENSOARG00000002489",666.43623458639,1.08115962534681,0.298379118597194,3.62344265386196,0.00029070768008603,0.0476460732310628,"ENSOARG00000002489","PREX2","9","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]"
"ENSOARG00000002562",320.178427424129,-1.03473477863925,0.284294719079041,-3.63965529149196,0.000273003257453274,0.0461621208027742,"ENSOARG00000002562","IL6R","1","interleukin 6 receptor [Source:HGNC Symbol;Acc:HGNC:6019]"
"ENSOARG00000002778",50.4592687411428,1.60918509904015,0.383654913984289,4.19435550122017,2.73648526632141e-05,0.015955596333872,"ENSOARG00000002778","","20","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NXQ2]"
"ENSOARG00000002865",446.556380582121,-1.7046134109488,0.37832272121193,-4.5057124919386,6.61506041272555e-06,0.00745693710125175,"ENSOARG00000002865","MEPE","6","matrix extracellular phosphoglycoprotein [Source:HGNC Symbol;Acc:HGNC:13361]"
"ENSOARG00000002866",325.747342595332,-0.938460997002744,0.225752800125674,-4.15702926599499,3.22412701925947e-05,0.016520231445048,"ENSOARG00000002866","RASSF4","25","Ras association (RalGDS/AF-6) domain family member 4 [Source:HGNC Symbol;Acc:HGNC:20793]"
"ENSOARG00000002973",286.596777750704,1.1074893394642,0.287768053473912,3.84854860049503,0.000118819725835846,0.0313925428774737,"ENSOARG00000002973","KCNN3","1","potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 3 [Source:HGNC Symbol;Acc:HGNC:6292]"
"ENSOARG00000003121",72.1357201172018,1.51708704551645,0.396113768889338,3.82992757300561,0.0001281809805337,0.0328395787855203,"ENSOARG00000003121","WIF1","3","WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]"
"ENSOARG00000003437",9.89876567975502,-1.64365501244667,0.403516646591679,-4.07332640754695,4.63463987324834e-05,0.018982577087189,"ENSOARG00000003437","PITX2","6","paired-like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]"
"ENSOARG00000003601",334.677715123196,0.880085114909607,0.235660158582386,3.73455199302147,0.00018804964041846,0.0398387896921503,"ENSOARG00000003601","NQO1","14","NAD(P)H dehydrogenase, quinone 1 [Source:HGNC Symbol;Acc:HGNC:2874]"
"ENSOARG00000003624",3534.69724518851,1.04966526952757,0.279070785781096,3.7612868240208,0.000169041454274955,0.0391550952100715,"ENSOARG00000003624","DOCK9","10","dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]"
"ENSOARG00000003895",230.300856568479,1.3305070824241,0.360608895274604,3.68961248560137,0.00022459590535295,0.0421965795957004,"ENSOARG00000003895","MYCT1","8","myc target 1 [Source:HGNC Symbol;Acc:HGNC:23172]"
"ENSOARG00000004062",21.5241964383929,-1.59982140093327,0.404300680080989,-3.957008928634,7.5894095115037e-05,0.0246787164288492,"ENSOARG00000004062","RAB38","21","RAB38, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9776]"
"ENSOARG00000004930",42.0892068139695,-1.47418931487258,0.392988252650681,-3.7512299793423,0.000175969197076972,0.0396728420449936,"ENSOARG00000004930","MMP12","15","matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]"
"ENSOARG00000005014",521.74370001948,1.53051914196633,0.323898727617002,4.72530149539862,2.29774192017647e-06,0.00392987614226584,"ENSOARG00000005014","ABLIM3","5","actin binding LIM protein family, member 3 [Source:HGNC Symbol;Acc:HGNC:29132]"
"ENSOARG00000005078",2759.18234704736,0.34898242215751,0.0949769193329534,3.67439189024555,0.000238416564958819,0.0434167620073191,"ENSOARG00000005078","PHF10","8","PHD finger protein 10 [Source:HGNC Symbol;Acc:HGNC:18250]"
"ENSOARG00000005315",456.047950599367,-1.38554653980417,0.385468179627123,-3.59445114547317,0.000325076133605633,0.049028620402301,"ENSOARG00000005315","MMP1","15","matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]"
"ENSOARG00000005471",70.8873312177214,-1.26980661302394,0.322669307278425,-3.9353188678967,8.30863081881241e-05,0.0255437524573271,"ENSOARG00000005471","MEX3A","1","mex-3 RNA binding family member A [Source:HGNC Symbol;Acc:HGNC:33482]"
"ENSOARG00000005526",4913.0332459998,0.846784980927113,0.227051595757979,3.72948262310266,0.000191873337239467,0.0398387896921503,"ENSOARG00000005526","MCFD2","3","multiple coagulation factor deficiency 2 [Source:HGNC Symbol;Acc:HGNC:18451]"
"ENSOARG00000005699",21.1711590736962,2.3522850764614,0.384219557763383,6.12224190292266,9.2267799580194e-10,7.8007811155075e-06,"ENSOARG00000005699","","16","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5P6Q6]"
"ENSOARG00000005709",3123.92132562617,1.28988822769326,0.279015220844545,4.62300308846565,3.78224089288927e-06,0.00508442093054757,"ENSOARG00000005709","COBLL1","2","cordon-bleu WH2 repeat protein-like 1 [Source:HGNC Symbol;Acc:HGNC:23571]"
"ENSOARG00000005722",10459.5554629882,1.6741944884034,0.332473593815305,5.03557130414827,4.76425736744113e-07,0.00161117655652124,"ENSOARG00000005722","EPAS1","3","endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]"
"ENSOARG00000005780",1237.14620745361,0.97577534690445,0.238244229376146,4.0956935219777,4.20906455112236e-05,0.0186300715736568,"ENSOARG00000005780","EMP2","24","epithelial membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3334]"
"ENSOARG00000005888",166.146530043221,1.61232588846273,0.403097342072279,3.99984251985871,6.33846481505327e-05,0.0232993699038556,"ENSOARG00000005888","PAPPA","2","pregnancy-associated plasma protein A, pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602]"
"ENSOARG00000006314",32.0239637795363,1.45463802460499,0.386736772835873,3.76131293111432,0.000169023808743047,0.0391550952100715,"ENSOARG00000006314","SPRY3","X","sprouty RTK signaling antagonist 3 [Source:HGNC Symbol;Acc:HGNC:11271]"
"ENSOARG00000006737",41.1799951786595,1.26306489877967,0.352619394490978,3.58194959923563,0.000341039597997102,0.049028620402301,"ENSOARG00000006737","KCNE3","15","potassium channel, voltage gated subfamily E regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]"
"ENSOARG00000006822",25.5932589080057,1.75350282671606,0.403026040936211,4.35084249802506,1.35615442843514e-05,0.00997009357843901,"ENSOARG00000006822","PLXNB3","X","plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]"
"ENSOARG00000006867",234.090297928916,-1.64320539843399,0.35611052658762,-4.61431290498426,3.94397867412264e-06,0.00508442093054757,"ENSOARG00000006867","MYOM3","2","myomesin 3 [Source:HGNC Symbol;Acc:HGNC:26679]"
"ENSOARG00000006909",33.231967187155,-1.40224428778962,0.383487871151994,-3.65655446566612,0.000255628115930858,0.0447475538999051,"ENSOARG00000006909","","19","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5PAD7]"
"ENSOARG00000006941",41.5276446192554,-1.67818924479813,0.402273015360279,-4.17176688646423,3.02246769237467e-05,0.0159709081907385,"ENSOARG00000006941","C17orf67","11","chromosome 17 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:27900]"
"ENSOARG00000007029",983.668452943798,1.54274397904973,0.379115904388214,4.06932012398498,4.71505256172415e-05,0.018982577087189,"ENSOARG00000007029","SPOCK2","25","sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2 [Source:HGNC Symbol;Acc:HGNC:13564]"
"ENSOARG00000007044",9.67926011230897,1.37293338354426,0.364951535611715,3.76196083472567,0.000168586451621017,0.0391550952100715,"ENSOARG00000007044","","9","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5PAU1]"
"ENSOARG00000007322",119.107809421015,-1.59778973374132,0.404412405915347,-3.95089198642381,7.78604607101093e-05,0.0248404250971177,"ENSOARG00000007322","","1","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5PBN8]"
"ENSOARG00000007549",71.2053615480123,-1.06664755845526,0.254993986062709,-4.18303025465449,2.87649094182999e-05,0.0159709081907385,"ENSOARG00000007549","LPAR2","5","lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:3168]"
"ENSOARG00000008063",318.574798186546,1.4558991301478,0.354378286064947,4.10831923793711,3.98548959283928e-05,0.0186300715736568,"ENSOARG00000008063","HEY1","9","hes-related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]"
"ENSOARG00000008186",1051.64034592803,-0.528534694318022,0.14476980000942,-3.65086291673836,0.000261360717336923,0.0450953915250003,"ENSOARG00000008186","SH3BP5L","5","SH3-binding domain protein 5-like [Source:HGNC Symbol;Acc:HGNC:29360]"
"ENSOARG00000008330",625.206376506458,-0.761324063071844,0.171169276855661,-4.44778453854094,8.67604907246868e-06,0.00862960669213958,"ENSOARG00000008330","WDR91","4","WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]"
"ENSOARG00000008351",1158.93224235201,1.31163345412224,0.36076525398168,3.63569783854198,0.00027722913582114,0.0464125490851452,"ENSOARG00000008351","SLCO2A1","1","prostaglandin transporter  [Source:RefSeq peptide;Acc:NP_001033110]"
"ENSOARG00000008367",2046.51547535311,0.616417397661703,0.171541529628016,3.5934003794789,0.000326390471055155,0.049028620402301,"ENSOARG00000008367","DYNLL2","11","dynein, light chain, LC8-type 2 [Source:HGNC Symbol;Acc:HGNC:24596]"
