"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","external_gene_name","chromosome_name","description"
"ENSOARG00000000531",2035.98641817602,-1.35705726558047,0.246689566332969,-5.50107280884667,3.77487274916112e-08,0.0002124531708671,"ENSOARG00000000531","","5","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NQX0]"
"ENSOARG00000000870",19.3796451110773,-2.06170058953421,0.539631913804718,-3.82056831108824,0.000133144520580422,0.0375074662566225,"ENSOARG00000000870","","7","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NRV5]"
"ENSOARG00000000879",8.87655393529367,-1.88305849173804,0.502552319294227,-3.7469899539665,0.000178969250778925,0.0471971334315387,"ENSOARG00000000879","","7","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NRW2]"
"ENSOARG00000000936",7.87556653080915,2.18409835904813,0.570304924221778,3.82970278930781,0.000128298119431445,0.0373673709205078,"ENSOARG00000000936","LMOD2","4","leiomodin 2 (cardiac) [Source:HGNC Symbol;Acc:HGNC:6648]"
"ENSOARG00000001346",143.701223285365,-2.59172751682877,0.5536904112139,-4.68082427352628,2.85723776643782e-06,0.00400317825295794,"ENSOARG00000001346","CST6","21","cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]"
"ENSOARG00000001968",470.632168456404,2.61452716017759,0.54267022078586,4.81789318822654,1.45081996499229e-06,0.00277009891982527,"ENSOARG00000001968","MFAP5","3","microfibrillar associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]"
"ENSOARG00000002031",15.9125296881853,2.27448341434512,0.550508153625589,4.13160713309261,3.60235726963739e-05,0.0221081811862318,"ENSOARG00000002031","","6","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NVE1]"
"ENSOARG00000003042",20.0126742774584,2.09829382220114,0.564316257615962,3.71829411944589,0.000200572663065388,0.0485442343959948,"ENSOARG00000003042","PON3","4","paraoxonase 3 [Source:HGNC Symbol;Acc:HGNC:9206]"
"ENSOARG00000003044",85.1060985214384,2.61041286905077,0.567257686225941,4.60181136798389,4.18832442557649e-06,0.00479814446194042,"ENSOARG00000003044","ACTA1","25","actin, alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]"
"ENSOARG00000003121",72.1357201172018,2.17277068700305,0.562095813678254,3.8654809983103,0.000110870481080152,0.0355564955280248,"ENSOARG00000003121","WIF1","3","WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]"
"ENSOARG00000005014",521.74370001948,1.78295879705567,0.469258596969273,3.79952292525057,0.000144974901504656,0.0395436302770794,"ENSOARG00000005014","ABLIM3","5","actin binding LIM protein family, member 3 [Source:HGNC Symbol;Acc:HGNC:29132]"
"ENSOARG00000005450",139.419928154757,2.01124587873633,0.479060817459642,4.19831012146129,2.68914198194313e-05,0.0171148947473003,"ENSOARG00000005450","","22","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5P608]"
"ENSOARG00000005699",21.1711590736962,2.87350550692003,0.530807204204283,5.41346365339487,6.18171470167308e-08,0.0002124531708671,"ENSOARG00000005699","","16","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5P6Q6]"
"ENSOARG00000005854",85.6671187323007,2.19088040811732,0.539232579514628,4.06296001270801,4.84543326259401e-05,0.0244893897601222,"ENSOARG00000005854","ADGRL3","6","adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]"
"ENSOARG00000006408",20.9767111818814,2.10331815273274,0.538566092133016,3.90540396704601,9.40681100693701e-05,0.0343929022006821,"ENSOARG00000006408","LGI2","6","leucine-rich repeat LGI family, member 2 [Source:HGNC Symbol;Acc:HGNC:18710]"
"ENSOARG00000006557",368.831184359439,1.9652392219503,0.50712298138216,3.87527147082558,0.000106505894897927,0.0355564955280248,"ENSOARG00000006557","AKAP6","18","A kinase (PRKA) anchor protein 6 [Source:HGNC Symbol;Acc:HGNC:376]"
"ENSOARG00000006941",41.5276446192554,-2.3974552940313,0.562913806179255,-4.25900958142045,2.05334669874158e-05,0.015322214017606,"ENSOARG00000006941","C17orf67","11","chromosome 17 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:27900]"
"ENSOARG00000007044",9.67926011230897,1.96219312737953,0.528558001608937,3.71235157051183,0.000205342485120689,0.0490084064488044,"ENSOARG00000007044","","9","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5PAU1]"
"ENSOARG00000007322",119.107809421015,-2.49499753006772,0.569014230074386,-4.38477176527124,1.16107448344368e-05,0.011084391068609,"ENSOARG00000007322","","1","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5PBN8]"
"ENSOARG00000007849",30.2251119285357,-1.84858677485248,0.461061978183096,-4.00941058323047,6.08704970904845e-05,0.0268204774872535,"ENSOARG00000007849","PLEKHB1","15","pleckstrin homology domain containing, family B (evectins) member 1 [Source:HGNC Symbol;Acc:HGNC:19079]"
"ENSOARG00000007935",568.554946532676,1.4651052475713,0.379316555356594,3.86248695682149,0.000112238559556444,0.0355564955280248,"ENSOARG00000007935","PLA2G4A","12","phospholipase A2, group IVA (cytosolic, calcium-dependent) [Source:HGNC Symbol;Acc:HGNC:9035]"
"ENSOARG00000008330",625.206376506458,-1.25596347068455,0.254406705873998,-4.93683319537418,7.94013268428622e-07,0.00170554050058468,"ENSOARG00000008330","WDR91","4","WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]"
"ENSOARG00000008660",17.1813156310961,2.19297432898167,0.507928047453439,4.31749012478525,1.57813466951142e-05,0.0132178967752166,"ENSOARG00000008660","ARSH","X","arylsulfatase family, member H [Source:HGNC Symbol;Acc:HGNC:32488]"
