"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","external_gene_name","chromosome_name","description"
"ENSOARG00000000130",109.294640029989,1.26622067198073,0.334761132976789,3.78246022983954,0.000155285909686606,0.0107611862577492,"ENSOARG00000000130","CHRFAM7A","18","CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion [Source:HGNC Symbol;Acc:HGNC:15781]"
"ENSOARG00000000158",416.921409299189,-1.21526077092026,0.335533661761336,-3.62187437332195,0.000292476155164143,0.0162680240383898,"ENSOARG00000000158","EDNRB","10","endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]"
"ENSOARG00000000327",16738.4678457108,0.972159613080318,0.269280719667525,3.61020876013932,0.000305950662593123,0.0166881282380229,"ENSOARG00000000327","LAMA1","23","laminin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]"
"ENSOARG00000000345",3872.53473842387,-2.10283661081127,0.405833172640571,-5.18152963477349,2.20073614899787e-07,0.000232576547146281,"ENSOARG00000000345","GRAMD1B","15","GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]"
"ENSOARG00000000348",109.057066836126,-1.25622446494014,0.383904036555003,-3.27223562485297,0.00106700611125567,0.0369298238193793,"ENSOARG00000000348","","6","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NQ99]"
"ENSOARG00000000392",275.988265472875,-1.28777659255844,0.401509113551051,-3.20734087744362,0.00133968150540924,0.0417951734543585,"ENSOARG00000000392","GPRIN3","6","GPRIN family member 3 [Source:HGNC Symbol;Acc:HGNC:27733]"
"ENSOARG00000000443",179.260559826873,-1.31528606114911,0.335027071679234,-3.92590979157771,8.64025345951578e-05,0.00739586915990106,"ENSOARG00000000443","","14","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NQK3]"
"ENSOARG00000000461",183.240280370753,-1.03172531081415,0.293454515899852,-3.51579292501413,0.000438442803073701,0.0207683462539958,"ENSOARG00000000461","NEBL","13","nebulette [Source:HGNC Symbol;Acc:HGNC:16932]"
"ENSOARG00000000465",1505.16726684607,-1.22553528520617,0.382703621849157,-3.20230908525138,0.00136330633705992,0.0422376001454661,"ENSOARG00000000465","RELN","4","reelin [Source:HGNC Symbol;Acc:HGNC:9957]"
"ENSOARG00000000484",226.09134359544,0.976740527256,0.248631118069645,3.92847256948103,8.54870993255007e-05,0.00739586915990106,"ENSOARG00000000484","ALDOC","11","aldolase C, fructose-bisphosphate [Source:HGNC Symbol;Acc:HGNC:418]"
"ENSOARG00000000498",3469.5726249948,-0.942355690908804,0.269343396902866,-3.49871465847981,0.000467506601796001,0.0217172228839796,"ENSOARG00000000498","ITGA9","19","integrin, alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]"
"ENSOARG00000000531",2035.98641817602,0.485828638073049,0.148017376118386,3.28224057751488,0.00102985699429936,0.036203434338062,"ENSOARG00000000531","","5","Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:W5NQX0]"
"ENSOARG00000000549",9293.15508777113,-0.749139155651281,0.198896178227391,-3.76648341022831,0.000165563079849897,0.0113801061674061,"ENSOARG00000000549","PTPRM","23","protein tyrosine phosphatase, receptor type, M [Source:HGNC Symbol;Acc:HGNC:9675]"
